"","Sample_ID","Genus_sp_95toPresent","Life_stage2","Sample_date","Sample_site","Zoop_density","Zoop_biomass"
"1","20200604-37-890","Acanthocyclops vernalis","YO",2020-06-04,"37-890",0.987081082788465,7.31502286561419
"2","20200604-37-890","Acroperus harpae","YO",2020-06-04,"37-890",0,0
"3","20200604-37-890","Alona sp.","YO",2020-06-04,"37-890",0,0
"4","20200604-37-890","Alonella sp.","YO",2020-06-04,"37-890",0,0
"5","20200604-37-890","Argulus sp.","YO",2020-06-04,"37-890",0,0
"6","20200604-37-890","Ascomorpha sp.","YO",2020-06-04,"37-890",0,0
"7","20200604-37-890","Asplanchna sp.","YO",2020-06-04,"37-890",39.4832433115386,6.317311162352
"8","20200604-37-890","Bipalpus hudsoni","YO",2020-06-04,"37-890",0,0
"9","20200604-37-890","Bosmina coregoni","YO",2020-06-04,"37-890",0,0
"10","20200604-37-890","Bosmina longirostris","YO",2020-06-04,"37-890",0,0
"11","20200604-37-890","Bosminopsis deitersi","YO",2020-06-04,"37-890",0,0
"12","20200604-37-890","Brachionus sp.","YO",2020-06-04,"37-890",0.740310812091348,0.14806198036
"13","20200604-37-890","Calanoida spp.","YO",2020-06-04,"37-890",0.246770270697116,0.931866523362063
"14","20200604-37-890","Calanoida spp. nauplii","Nauplii",2020-06-04,"37-890",22.9496351748318,2.46683731962796
"15","20200604-37-890","Camptocercus sp.","YO",2020-06-04,"37-890",0,0
"16","20200604-37-890","Ceriodaphnia sp.","YO",2020-06-04,"37-890",0,0
"17","20200604-37-890","Chydoridae spp.","YO",2020-06-04,"37-890",0,0
"18","20200604-37-890","Cladocera sp.","YO",2020-06-04,"37-890",0,0
"19","20200604-37-890","Collotheca sp.","YO",2020-06-04,"37-890",0,0
"20","20200604-37-890","Conochilus sp.","YO",2020-06-04,"37-890",0,0
"21","20200604-37-890","Cyclopoida spp.","YO",2020-06-04,"37-890",1.4806216241827,1.00883484149335
"22","20200604-37-890","Cyclopoida spp. nauplii","Nauplii",2020-06-04,"37-890",4.68863514324521,0.415730354856916
"23","20200604-37-890","Daphnia ambigua","YO",2020-06-04,"37-890",0,0
"24","20200604-37-890","Daphnia laevis","YO",2020-06-04,"37-890",0,0
"25","20200604-37-890","Daphnia longiremis","YO",2020-06-04,"37-890",0,0
"26","20200604-37-890","Daphnia lumholtzi","YO",2020-06-04,"37-890",0,0
"27","20200604-37-890","Daphnia mendotae","YO",2020-06-04,"37-890",0,0
"28","20200604-37-890","Daphnia parvula","YO",2020-06-04,"37-890",0,0
"29","20200604-37-890","Daphnia pulex","YO",2020-06-04,"37-890",0,0
"30","20200604-37-890","Daphnia retrocurva","YO",2020-06-04,"37-890",43.1847973719953,174.678753335225
"31","20200604-37-890","Daphnia rosea","YO",2020-06-04,"37-890",0,0
"32","20200604-37-890","Daphnia schodleri","YO",2020-06-04,"37-890",0,0
"33","20200604-37-890","Diacyclops thomasi","YO",2020-06-04,"37-890",0,0
"34","20200604-37-890","Diaphanosoma sp.","YO",2020-06-04,"37-890",0,0
"35","20200604-37-890","Dreissena spp.","Veliger",2020-06-04,"37-890",141.15259483875,65.63587589706
"36","20200604-37-890","Epischura lacustris","YO",2020-06-04,"37-890",0.493540541394232,8.11672079248222
"37","20200604-37-890","Ergasilus sp.","YO",2020-06-04,"37-890",0,0
"38","20200604-37-890","Euchlanis sp.","YO",2020-06-04,"37-890",0,0
"39","20200604-37-890","Eucyclops spp.","YO",2020-06-04,"37-890",0,0
"40","20200604-37-890","Eurycercus lamellatus","YO",2020-06-04,"37-890",0,0
"41","20200604-37-890","Eurytemora carolleeae","YO",2020-06-04,"37-890",1.4806216241827,7.45321787301513
"42","20200604-37-890","Filinia sp.","YO",2020-06-04,"37-890",0,0
"43","20200604-37-890","Harpacticoida spp.","YO",2020-06-04,"37-890",0,0
"44","20200604-37-890","Harpacticoida spp. nauplii","Nauplii",2020-06-04,"37-890",0,0
"45","20200604-37-890","Holopedium gibberum","YO",2020-06-04,"37-890",0,0
"46","20200604-37-890","Ilyocryptus sp.","YO",2020-06-04,"37-890",0,0
"47","20200604-37-890","Kellicottia sp.","YO",2020-06-04,"37-890",0,0
"48","20200604-37-890","Keratella quadrata","YO",2020-06-04,"37-890",0,0
"49","20200604-37-890","Keratella sp.","YO",2020-06-04,"37-890",17.027148678101,1.872984051653
"50","20200604-37-890","Kurzia latissima","YO",2020-06-04,"37-890",0,0
"51","20200604-37-890","Lecane sp.","YO",2020-06-04,"37-890",0,0
"52","20200604-37-890","Lepadella patella","YO",2020-06-04,"37-890",0,0
"53","20200604-37-890","Leptodiaptomus ashlandi","YO",2020-06-04,"37-890",0,0
"54","20200604-37-890","Leptodiaptomus minutus","YO",2020-06-04,"37-890",0,0
"55","20200604-37-890","Leptodiaptomus sicilis","YO",2020-06-04,"37-890",0,0
"56","20200604-37-890","Leptodiaptomus siciloides","YO",2020-06-04,"37-890",0,0
"57","20200604-37-890","Leptodora kindti","YO",2020-06-04,"37-890",0.246770270697116,4.25797935019954
"58","20200604-37-890","Leydigia sp.","YO",2020-06-04,"37-890",0,0
"59","20200604-37-890","Limnocalanus macrurus","YO",2020-06-04,"37-890",0,0
"60","20200604-37-890","Macrothrix sp.","YO",2020-06-04,"37-890",0,0
"61","20200604-37-890","Mesocyclops spp.","YO",2020-06-04,"37-890",0.493540541394232,5.35823464644517
"62","20200604-37-890","Moina sp.","YO",2020-06-04,"37-890",0,0
"63","20200604-37-890","Monostyla sp.","YO",2020-06-04,"37-890",0,0
"64","20200604-37-890","Notholca sp.","YO",2020-06-04,"37-890",0,0
"65","20200604-37-890","Paracyclops poppei","YO",2020-06-04,"37-890",0,0
"66","20200604-37-890","Platyias sp.","YO",2020-06-04,"37-890",0,0
"67","20200604-37-890","Pleuroxus sp.","YO",2020-06-04,"37-890",0,0
"68","20200604-37-890","Ploesoma sp.","YO",2020-06-04,"37-890",0.740310812091348,0
"69","20200604-37-890","Polyarthra sp.","YO",2020-06-04,"37-890",14.3126757004327,10.591366995628
"70","20200604-37-890","Rotifera spp.","YO",2020-06-04,"37-890",70.5762974193752,30.982956471838
"71","20200604-37-890","Scapholeberis sp.","YO",2020-06-04,"37-890",0,0
"72","20200604-37-890","Sida crystallina","YO",2020-06-04,"37-890",0,0
"73","20200604-37-890","Simocephalus sp.","YO",2020-06-04,"37-890",0,0
"74","20200604-37-890","Skistodiaptomus oregonensis","YO",2020-06-04,"37-890",0.493540541394232,3.27577153833104
"75","20200604-37-890","Skistodiaptomus reighardi","YO",2020-06-04,"37-890",0,0
"76","20200604-37-890","Synchaeta sp.","YO",2020-06-04,"37-890",0,0
"77","20200604-37-890","Testudinella sp.","YO",2020-06-04,"37-890",0,0
"78","20200604-37-890","Trichocerca sp.","YO",2020-06-04,"37-890",0,0
"79","20200604-37-890","Tropocyclops prasinus mexicanus","YO",2020-06-04,"37-890",0,0
"80","20200604-37-890","Unidentified Daphniidae spp.","YO",2020-06-04,"37-890",0,0
"81","20200618-37-890","Acanthocyclops vernalis","YO",2020-06-18,"37-890",0.168362068014852,0.535596164765751
"82","20200618-37-890","Acroperus harpae","YO",2020-06-18,"37-890",0,0
"83","20200618-37-890","Alona sp.","YO",2020-06-18,"37-890",0,0
"84","20200618-37-890","Alonella sp.","YO",2020-06-18,"37-890",0,0
"85","20200618-37-890","Argulus sp.","YO",2020-06-18,"37-890",0,0
"86","20200618-37-890","Ascomorpha sp.","YO",2020-06-18,"37-890",0,0
"87","20200618-37-890","Asplanchna sp.","YO",2020-06-18,"37-890",0,0
"88","20200618-37-890","Bipalpus hudsoni","YO",2020-06-18,"37-890",0,0
"89","20200618-37-890","Bosmina coregoni","YO",2020-06-18,"37-890",0.715538789063122,2.70722894170046
"90","20200618-37-890","Bosmina longirostris","YO",2020-06-18,"37-890",0.042090517003713,0.0311533726956773
"91","20200618-37-890","Bosminopsis deitersi","YO",2020-06-18,"37-890",0,0
"92","20200618-37-890","Brachionus sp.","YO",2020-06-18,"37-890",0,0
"93","20200618-37-890","Calanoida spp.","YO",2020-06-18,"37-890",1.43107757812624,2.26029061075923
"94","20200618-37-890","Calanoida spp. nauplii","Nauplii",2020-06-18,"37-890",18.8565516176634,2.39227974464006
"95","20200618-37-890","Camptocercus sp.","YO",2020-06-18,"37-890",0,0
"96","20200618-37-890","Ceriodaphnia sp.","YO",2020-06-18,"37-890",0,0
"97","20200618-37-890","Chydoridae spp.","YO",2020-06-18,"37-890",0,0
"98","20200618-37-890","Cladocera sp.","YO",2020-06-18,"37-890",0,0
"99","20200618-37-890","Collotheca sp.","YO",2020-06-18,"37-890",0,0
"100","20200618-37-890","Conochilus sp.","YO",2020-06-18,"37-890",0,0
"101","20200618-37-890","Cyclopoida spp.","YO",2020-06-18,"37-890",3.70396549632675,4.87222192977523
"102","20200618-37-890","Cyclopoida spp. nauplii","Nauplii",2020-06-18,"37-890",4.96668100643814,0.49915726498127
"103","20200618-37-890","Daphnia ambigua","YO",2020-06-18,"37-890",0,0
"104","20200618-37-890","Daphnia laevis","YO",2020-06-18,"37-890",0,0
"105","20200618-37-890","Daphnia longiremis","YO",2020-06-18,"37-890",0,0
"106","20200618-37-890","Daphnia lumholtzi","YO",2020-06-18,"37-890",0,0
"107","20200618-37-890","Daphnia mendotae","YO",2020-06-18,"37-890",0.378814653033417,2.84252186757394
"108","20200618-37-890","Daphnia parvula","YO",2020-06-18,"37-890",0,0
"109","20200618-37-890","Daphnia pulex","YO",2020-06-18,"37-890",0,0
"110","20200618-37-890","Daphnia retrocurva","YO",2020-06-18,"37-890",5.09295255744928,33.7202199886289
