"","Sample_ID","Sample_date","Sample_site","Water_body","Depth_m","Latitude","Longitude","Year","Month","Day","DOY","Time","Diatoms","Chrysophytes","Cryptophytes","Green_algae","Cyanobacteria","Dinoflagellates","Edibles","Inedibles","TotalPP","Site_consolidated"
"1","20010523-1279_20m","2001-05-23","1279_20m","Central Erie",20,41.862778,-81.310556,2001,5,23,143,2001.38904109589,0.057349849,0.084039561,0.139092085,0.288966201,0,0,0.569447696,0,0.569447696,"1279_20m"
"2","20010523-1280_15m","2001-05-23","1280_15m","Central Erie",15,41.812222,-81.310556,2001,5,23,143,2001.38904109589,0.343479585,0,0.277266289,0.153747742,0,0,0.774493616,0,0.774493616,"1280_15m"
"3","20010523-1281_10m","2001-05-23","1281_10m","Central Erie",10,41.750278,-81.310556,2001,5,23,143,2001.38904109589,0.066421041,0,0.376903097,0.103007888,0,0,0.546332026,0,0.546332026,"1281_10m"
"4","20010523-1281_5m","2001-05-23","1281_5m","Central Erie",5,41.765278,-81.310556,2001,5,23,143,2001.38904109589,0.551528167,0,0.509936385,0.192759727,0,0,1.254224279,0,1.254224279,"1281_5m"
"5","20030509-1279_20m","2003-05-09","1279_20m","Central Erie",20,41.85916667,-81.33722222,2003,5,9,129,2003.35068493151,0.809339552,0,0.581703436,0.139228885,0,0,1.530271873,0,1.530271873,"1279_20m"
"6","20030509-1280_15m","2003-05-09","1280_15m","Central Erie",15,41.812222,-81.310556,2003,5,9,129,2003.35068493151,0.005213107,0,0.116279435,0.123552638,0.007636387,0,0.24504518,0.007636387,0.252681567,"1280_15m"
"7","20030509-1281_10m","2003-05-09","1281_10m","Central Erie",10,41.750278,-81.310556,2003,5,9,129,2003.35068493151,0.265392979,0.020760543,0.090403821,0.196273989,0.00877206,0,0.314829559,0.266773833,0.581603392,"1281_10m"
"8","20030509-1281_5m","2003-05-09","1281_5m","Central Erie",6,41.765278,-81.310556,2003,5,9,129,2003.35068493151,1.979941156,0,0.100282129,0.154870471,0,0,0.406332859,1.828760897,2.235093756,"1281_5m"
"9","20030509-1310_5m","2003-05-09","1310_5m","Central Erie",5,41.788611,-81.213333,2003,5,9,129,2003.35068493151,0,0,0.145567351,0.324002184,0,0.007639612,0.477209147,0,0.477209147,"1310_5m"
"10","20040506-1279_20m","2004-05-06","1279_20m","Central Erie",20,41.85916667,-81.33722222,2004,5,6,127,2004.34426229508,5.886708829,0.027777797,0.484021638,0.299815027,0,0,6.48998981,0.208333481,6.698323291,"1279_20m"
