"","Sample_ID","Sample_date","Sample_site","Latitude","Longitude","Project","Surface_temp","Bottom_temp","Surface_DO","Bottom_DO"
"1","20010430-14-972",2001-04-30,"14-972",41.571667,-82.77,"LEPAS",13.2,12.8,9.7,9.2
"2","20010430-16-970",2001-04-30,"16-970",41.640278,-82.765833,"LEPAS",13.1,12.2,9.4,9.2
"3","20010430-27-918",2001-04-30,"27-918",41.775556,-83.054722,"LEPAS",13.3,12.4,9.6,9.2
"4","20010430-29-905",2001-04-30,"29-905",41.866389,-83.135278,"LEPAS",14.2,13.6,9.2,8.1
"5","20010430-36-873",2001-04-30,"36-873",41.768333,-83.300833,"LEPAS",13.1,9.2,10.1,13.4
"6","20010430-8-994",2001-04-30,"8-994",41.517778,-82.600556,"LEPAS",10.2,10.2,10.4,10.9
"7","20010430-37-890",2001-04-30,"37-890",41.7025,-83.248056,"LEPAS",13.6,13.2,8.9,8.7
"8","20010430-3-996",2001-04-30,"3-996",41.4475,-82.617778,"LEPAS",11.9,11.1,10.6,10.9
"9","20010514-29-905B",2001-05-14,"29-905B",41.866389,-83.135278,"LEPAS",NA,NA,NA,NA
"10","20010514-14-972",2001-05-14,"14-972",41.571667,-82.77,"LEPAS",15.5,15.1,8.7,9.1
"11","20010514-16-970",2001-05-14,"16-970",41.640278,-82.765833,"LEPAS",15.3,14.2,9.4,10.3
"12","20010514-27-918",2001-05-14,"27-918",41.775556,-83.054722,"LEPAS",16.3,15.5,9,9.5
"13","20010514-29-905",2001-05-14,"29-905",41.866389,-83.135278,"LEPAS",17,16,9.1,8.2
"14","20010514-36-873",2001-05-14,"36-873",41.768333,-83.300833,"LEPAS",17.1,16.1,8.9,9.1
"15","20010514-8-994",2001-05-14,"8-994",41.517778,-82.600556,"LEPAS",15,14.2,10,11.1
"16","20010514-37-890",2001-05-14,"37-890",41.7025,-83.248056,"LEPAS",17.1,16,9.8,10.3
"17","20010514-3-996",2001-05-14,"3-996",41.4475,-82.617778,"LEPAS",15.3,15.3,9.2,9.2
"18","20010523-1279_20m",2001-05-23,"1279_20m",41.862778,-81.310556,"LEPAS",13.1,8.6,11.11,10.96
"19","20010523-1280_15m",2001-05-23,"1280_15m",41.812222,-81.310556,"LEPAS",13.1,8.7,11.01,10.4
"20","20010523-1281_10m",2001-05-23,"1281_10m",41.750278,-81.310556,"LEPAS",13,12.6,9.76,9.82
"21","20010523-1281_5m",2001-05-23,"1281_5m",41.765278,-81.310556,"LEPAS",12.9,12.7,9.86,9.88
"22","20010531-14-972",2001-05-31,"14-972",41.571667,-82.77,"LEPAS",16.5,16,8.6,9
