"","Sample_ID","Sample_date","Sample_site","Water_body","Depth_m","Surface_temp","Latitude","Longitude","Year","Month","Day","DOY","Time","Sm_cladocerans","Lg_cladocerans","Cyclopoids","Calanoids","Rotifers","Nauplii","Veligers","Leptodora","TotalZP"
"1","20010523-1279_20m","2001-05-23","1279_20m","Central Erie",20,13.1,41.862778,-81.310556,2001,5,23,143,2001.38904109589,21.7741055537957,2.09568232587961,555.998207627934,25.3103981086918,101.214223900244,22.134824919355,2.65441563467934,0,731.181858070579
"2","20010523-1280_15m","2001-05-23","1280_15m","Central Erie",15,13.1,41.812222,-81.310556,2001,5,23,143,2001.38904109589,59.0454926799806,18.6859043990902,447.594508414215,280.8904307067,55.8572292434555,9.20781542746641,8.00634695171452,0,879.287727822623
"3","20010523-1281_10m","2001-05-23","1281_10m","Central Erie",10,13,41.750278,-81.310556,2001,5,23,143,2001.38904109589,29.566155994713,0.118558061237737,288.867756966711,107.952460026896,1.78293283223457,1.99175477420506,0.442600106943185,0,430.72221876294
"4","20010523-1281_5m","2001-05-23","1281_5m","Central Erie",5,12.9,41.765278,-81.310556,2001,5,23,143,2001.38904109589,42.9678738235008,4.2200560288131,414.709900618858,103.359246787693,8.01318378580689,1.90094023725417,1.77237852880936,0,576.943579810736
"5","20030509-1279_20m","2003-05-09","1279_20m","Central Erie",20,6.8,41.85916667,-81.33722222,2003,5,9,129,2003.35068493151,0,0,0,0,0,0,0,0,0
"6","20030509-1280_15m","2003-05-09","1280_15m","Central Erie",15,9,41.812222,-81.310556,2003,5,9,129,2003.35068493151,0.216678931688611,0,16.6599024785717,2.38552016838945,1.88980469765555,2.28540484932604,0.111805914954309,0,23.5491170405856
"7","20030509-1281_10m","2003-05-09","1281_10m","Central Erie",10,9.7,41.750278,-81.310556,2003,5,9,129,2003.35068493151,0.5112548868816,0.0194146421225601,26.7573504627014,4.58786270224197,2.2133698765936,1.27540010599363,0.564914096611244,0,35.929566773146
"8","20030509-1281_5m","2003-05-09","1281_5m","Central Erie",6,9.4,41.765278,-81.310556,2003,5,9,129,2003.35068493151,0.609556736798948,0.0808667535348963,33.8662455454286,1.64001736840278,2.69730649370949,0.521445777905292,0.133365621852308,0,39.5488042976323
"9","20030509-1310_5m","2003-05-09","1310_5m","Central Erie",5,8.9,41.788611,-81.213333,2003,5,9,129,2003.35068493151,0.40047586765734,0,11.3450360583808,0,0.0772065178988516,0.167932479683778,0.0014077731481047,0,11.9920586967689
"10","20040506-1279_20m","2004-05-06","1279_20m","Central Erie",20,10.3,41.85916667,-81.33722222,2004,5,6,127,2004.34426229508,5.34911243807721,0,31.8105529185471,18.0465372739324,67.6041058870586,3.95520078327,15.57548866371,0,142.340997964595
"11","20040506-1280_15m","2004-05-06","1280_15m","Central Erie",15,11,41.812222,-81.310556,2004,5,6,127,2004.34426229508,1.38728566610488,0.0511035417008692,7.10048827025027,8.62885634394261,17.7195552734582,1.05324519403517,31.9244663470256,0,67.8650006365176
"12","20040506-1281_10m","2004-05-06","1281_10m","Central Erie",10,11.7,41.750278,-81.310556,2004,5,6,127,2004.34426229508,0.280350888957009,0,0.753050318494321,0.532606129107514,0.788902415146381,0.0847365621787262,0.872180774314432,0.0425462610146227,3.35437334921301
"13","20040506-1281_5m","2004-05-06","1281_5m","Central Erie",5,12.1,41.765278,-81.310556,2004,5,6,127,2004.34426229508,0.58239892295982,0.0226804140592784,0.735247202859004,0.435281224121269,1.10340648039142,0.224148001810453,0.657215315108404,0,3.76037756130964
