"","Sample_ID","biop_152_names","Sample_date","Sample_site","biop_152_codes","Number_counted","Zoop_density","Zoop_biomass","Zoop_len_avg"
"1","20010430-27-918","Acan.vern",2001-04-30,"27-918","34",0,0,0,NA
"2","20010430-27-918","Alona.sp",2001-04-30,"27-918","181",0,0,0,NA
"3","20010430-27-918","Bo.Longer",2001-04-30,"27-918","1",2,0.025068725912088,0.0604164671550182,0.4004
"4","20010430-27-918","Cal. Naup",2001-04-30,"27-918","83",703,8.81165715809893,1.64553194236539,0.1911
"5","20010430-27-918","Cerio.sp",2001-04-30,"27-918","189",0,0,0,NA
"6","20010430-27-918","Ch.Sphae",2001-04-30,"27-918","13",0,0,0,NA
"7","20010430-27-918","Clad eggs",2001-04-30,"27-918","993",4,0.050137451824176,0.0255701004303297,NA
"8","20010430-27-918","Cop eggs",2001-04-30,"27-918","994",800,10.0274903648352,1.16315002579572,NA
"9","20010430-27-918","Cy.Scut",2001-04-30,"27-918","154",0,0,0,NA
"10","20010430-27-918","Cycl.Naup",2001-04-30,"27-918","82",315,3.94832433115386,0.699394954826253,0.1898
"11","20010430-27-918","Da.G.Men",2001-04-30,"27-918","9",1,0.012534362956044,0.0345921268546807,0.5278
"12","20010430-27-918","Da.Long",2001-04-30,"27-918","7",1,0.012534362956044,0.0744361549857822,1.183
"13","20010430-27-918","Da.Parv",2001-04-30,"27-918","125",0,0,0,NA
"14","20010430-27-918","Da.Pulex",2001-04-30,"27-918","151",0,0,0,NA
"15","20010430-27-918","Da.Retro",2001-04-30,"27-918","5",0,0,0,NA
"16","20010430-27-918","Daph.sp",2001-04-30,"27-918","113",0,0,0,NA
"17","20010430-27-918","Di.Ashlan",2001-04-30,"27-918","67",94,1.17823011786814,5.61109553016393,0.875806060606061
"18","20010430-27-918","Di.Minut",2001-04-30,"27-918","64",86,1.07795521421978,3.82196869897339,0.803833333333333
"19","20010430-27-918","Di.Oregon",2001-04-30,"27-918","58",4,0.050137451824176,0.351693729948053,1.0647
"20","20010430-27-918","Di.Reigh",2001-04-30,"27-918","79",0,0,0,NA
"21","20010430-27-918","Di.Sicil",2001-04-30,"27-918","55",38,0.476305792329672,4.13889722678452,1.21909666666667
"22","20010430-27-918","Di.Sicilo",2001-04-30,"27-918","61",0,0,0,NA
"23","20010430-27-918","Dia.Birg",2001-04-30,"27-918","15",0,0,0,NA
"24","20010430-27-918","Dia.Brach",2001-04-30,"27-918","187",1,0.012534362956044,0.0515882999935865,0.819
"25","20010430-27-918","Dia.Thoma",2001-04-30,"27-918","31",70,0.87740540692308,3.38075816252029,0.854641666666667
"26","20010430-27-918","Ep.Lacus",2001-04-30,"27-918","73",0,0,0,NA
"27","20010430-27-918","Eub.Coreg",2001-04-30,"27-918","3",0,0,0,NA
"28","20010430-27-918","Eucyclops",2001-04-30,"27-918","43",0,0,0,NA
"29","20010430-27-918","Eury.Affi",2001-04-30,"27-918","70",0,0,0,NA
"30","20010430-27-918","Harp.Naup",2001-04-30,"27-918","85",0,0,0,NA
"31","20010430-27-918","Harpact",2001-04-30,"27-918","135",0,0,0,NA
"32","20010430-27-918","Ho.Gibber",2001-04-30,"27-918","17",0,0,0,NA
"33","20010430-27-918","Le.Kindti",2001-04-30,"27-918","19",0,0,0,NA
"34","20010430-27-918","Li.Macrur",2001-04-30,"27-918","52",0,0,0,NA
"35","20010430-27-918","Meso.edax",2001-04-30,"27-918","40",8,0.100274903648352,0.48770280562448,0.8008
"36","20010430-27-918","othercala",2001-04-30,"27-918","9993",40,0.50137451824176,1.19234835914682,0.695846666666667
"37","20010430-27-918","othercyclo",2001-04-30,"27-918","9992",26,0.325893436857144,0.315317933420915,0.4095
"38","20010430-27-918","Pa.F.Pop",2001-04-30,"27-918","186",0,0,0,NA
"39","20010430-27-918","rotifer",2001-04-30,"27-918","9995",11,0.137877992516484,0.0605284387147364,NA
"40","20010430-27-918","Sc.Kingi",2001-04-30,"27-918","191",0,0,0,NA
"41","20010430-27-918","Simo.Ser",2001-04-30,"27-918","168",0,0,0,NA
"42","20010430-27-918","unkclad.d",2001-04-30,"27-918","990",0,0,0,NA
"43","20010430-27-918","Veligers",2001-04-30,"27-918","234",59,0.739527414406596,0.343880247699067,NA
"44","20010430-37-890","Acan.vern",2001-04-30,"37-890","34",0,0,0,NA
"45","20010430-37-890","Alona.sp",2001-04-30,"37-890","181",0,0,0,NA
"46","20010430-37-890","Bo.Longer",2001-04-30,"37-890","1",1,0.006926884791498,0.00785316398583625,0.2912
"47","20010430-37-890","Cal. Naup",2001-04-30,"37-890","83",437,3.02704865388462,0.39366164651171,0.1547
"48","20010430-37-890","Cerio.sp",2001-04-30,"37-890","189",0,0,0,NA
"49","20010430-37-890","Ch.Sphae",2001-04-30,"37-890","13",0,0,0,NA
"50","20010430-37-890","Clad eggs",2001-04-30,"37-890","993",0,0,0,NA
"51","20010430-37-890","Cop eggs",2001-04-30,"37-890","994",417,2.88851095805466,0.33747159284547,NA
"52","20010430-37-890","Cy.Scut",2001-04-30,"37-890","154",0,0,0,NA
"53","20010430-37-890","Cycl.Naup",2001-04-30,"37-890","82",250,1.7317211978745,0.247557472236983,0.1638
"54","20010430-37-890","Da.G.Men",2001-04-30,"37-890","9",3,0.020780654374494,0.144376694180685,0.9464
"55","20010430-37-890","Da.Long",2001-04-30,"37-890","7",0,0,0,NA
"56","20010430-37-890","Da.Parv",2001-04-30,"37-890","125",0,0,0,NA
"57","20010430-37-890","Da.Pulex",2001-04-30,"37-890","151",0,0,0,NA
"58","20010430-37-890","Da.Retro",2001-04-30,"37-890","5",0,0,0,NA
"59","20010430-37-890","Daph.sp",2001-04-30,"37-890","113",0,0,0,NA
"60","20010430-37-890","Di.Ashlan",2001-04-30,"37-890","67",180,1.24683926246964,5.33032662802987,0.844231818181818
"61","20010430-37-890","Di.Minut",2001-04-30,"37-890","64",150,1.0390327187247,3.31711776386627,0.801377777777778
"62","20010430-37-890","Di.Oregon",2001-04-30,"37-890","58",6,0.041561308748988,0.300943889130965,1.07986666666667
"63","20010430-37-890","Di.Reigh",2001-04-30,"37-890","79",0,0,0,NA
"64","20010430-37-890","Di.Sicil",2001-04-30,"37-890","55",32,0.221660313327936,1.82742425907887,1.19513333333333
"65","20010430-37-890","Di.Sicilo",2001-04-30,"37-890","61",0,0,0,NA
"66","20010430-37-890","Dia.Birg",2001-04-30,"37-890","15",0,0,0,NA
"67","20010430-37-890","Dia.Brach",2001-04-30,"37-890","187",0,0,0,NA
"68","20010430-37-890","Dia.Thoma",2001-04-30,"37-890","31",50,0.3463442395749,1.01358362195731,0.759344444444444
"69","20010430-37-890","Ep.Lacus",2001-04-30,"37-890","73",0,0,0,NA
"70","20010430-37-890","Eub.Coreg",2001-04-30,"37-890","3",0,0,0,NA
"71","20010430-37-890","Eucyclops",2001-04-30,"37-890","43",0,0,0,NA
"72","20010430-37-890","Eury.Affi",2001-04-30,"37-890","70",0,0,0,NA
"73","20010430-37-890","Harp.Naup",2001-04-30,"37-890","85",0,0,0,NA
