"","Sample_site","Latitude","Longitude","n","FirstDate","LastDate"
"1","1046_10m",41.600278,-82.270556,1,1996-08-13,1996-08-13
"2","1056_10m",41.5126,-82.2176,2,2012-06-19,2013-10-09
"3","1057_5m",41.476389,-82.226944,8,1996-08-13,2013-10-09
"4","1058_5m",41.57,-82.24,1,2009-06-15,2009-06-15
"5","1062_15m",41.6083,-82.1374,5,2009-10-06,2013-10-09
"6","1063_10m",41.567778,-82.2175,7,2009-06-15,2013-06-25
"7","1063_15m",41.567778,-82.2175,1,2003-09-04,2003-09-04
"8","1065_10m",41.4992,-82.19,2,2003-08-21,2003-09-03
"9","1065_15m",41.484722,-82.184722,1,2003-08-21,2003-08-21
"10","1065_5m",41.47,-82.199,2,2003-08-21,2003-09-03
"11","1070_15m",41.600278,-82.106667,3,1996-08-13,2009-08-19
"12","1071_15m",41.573,-82.1357,3,2011-09-01,2012-10-04
"13","1072_10m",41.5167,-82.147,1,2010-06-14,2010-06-14
"14","1073_5m",41.4995,-82.1236,2,2010-06-14,2012-09-05
"15","1109_20m",41.725556,-81.936944,1,1996-06-20,1996-06-20
"16","1110_20m",41.682222,-81.936944,1,1996-08-13,1996-08-13
"17","1112_15m",41.600278,-81.936944,2,1996-06-20,1996-08-13
"18","1114_10m",41.519722,-81.9325,2,1996-06-20,1996-08-13
"19","1120_20m",41.6803,-81.89,3,2010-06-14,2013-10-04
"20","1124_10m",41.523,-81.8751,3,2009-09-23,2012-09-05
"21","1125_5m",41.489167,-81.893611,4,1996-06-20,2012-09-05
"22","1133_15m",41.5958,-81.8508,1,2013-06-24,2013-06-24
"23","1134_15m",41.5537,-81.8658,1,2009-08-19,2009-08-19
"24","1136_5m",41.4935,-81.8647,1,2009-09-23,2009-09-23
"25","1144_15m",41.6067,-81.8044,1,2010-06-14,2010-06-14
"26","1154_20m",41.6777,-81.7691,6,2009-06-15,2012-10-03
"27","1155_15m",41.6477,-81.7657,3,2009-09-23,2012-10-03
"28","1157_15m",41.566667,-81.750833,4,2003-09-04,2013-10-04
"29","1159_5m",41.4977,-81.7572,7,2009-06-16,2013-10-08
"30","1166_20m",41.684167,-81.733889,1,2003-09-04,2003-09-04
"31","1168_15m",41.5889,-81.7304,1,2009-06-15,2009-06-15
"32","1170_10m",41.517778,-81.734444,8,2003-09-04,2013-10-08
"33","1170_5m",41.508889,-81.724722,2,1996-06-20,1996-08-12
"34","1170_7m",41.501944,-81.734167,1,2003-09-04,2003-09-04
"35","1179_20m",41.682222,-81.689444,2,1996-06-20,1996-08-12
"36","1181_15m",41.584722,-81.684444,1,1996-06-26,1996-06-26
"37","1182_10m",41.563056,-81.694167,2,1996-06-26,1996-08-12
"38","12-986",41.607222,-82.640833,7,1998-06-10,1998-09-21
"39","1208_24m",42.02,-81.56,1,2009-05-05,2009-05-05
"40","1221_23m",NA,NA,1,2009-05-05,2009-05-05
"41","1247_22m",NA,NA,1,2009-05-05,2009-05-05
"42","1251_5m",41.693056,-81.433333,2,1996-07-18,1996-08-06
"43","1259_15m",41.8055,-81.3888,1,2010-04-19,2010-04-19
"44","1261_10m",41.725556,-81.393333,2,2010-04-19,2012-10-03
"45","1261_5m",41.725556,-81.393333,4,2010-04-19,2012-10-03
"46","1268_20m",41.844722,-81.354444,3,1996-08-06,2013-06-17
"47","1269_15m",41.797778,-81.359167,10,1999-07-13,2013-06-17
"48","1270_10m",41.7708,-81.3498,1,2010-04-08,2010-04-08
"49","1270_5m",41.7708,-81.3498,2,2007-04-10,2007-04-18
"50","1271_5m",41.732778,-81.640833,1,2010-04-19,2010-04-19
"51","1272_5m",41.7255,-81.35,1,2002-08-26,2002-08-26
"52","1279_15m",41.843056,-81.310556,6,1996-07-18,2013-10-03
"53","1279_20m",41.862778,-81.310556,146,1996-06-12,2014-10-02
"54","1280_10m",41.793889,-81.310556,2,1996-07-18,2002-10-24
"55","1280_15m",41.812222,-81.310556,139,1996-06-12,2015-05-21
"56","1280_5m",41.812222,-81.310556,1,2004-06-03,2004-06-03
"57","1281_10m",41.750278,-81.310556,146,1996-06-12,2015-05-21
"58","1281_15m",41.750278,-81.310556,1,2008-09-17,2008-09-17
"59","1281_5m",41.765278,-81.310556,150,1996-06-12,2015-05-07
"60","1308_20m",41.919167,-81.207222,9,2002-07-17,2003-07-02
"61","1309_15m",41.858056,-81.184167,4,2002-08-26,2003-08-08
"62","1310_10m",41.809444,-81.210833,13,2002-07-17,2005-06-01
"63","1310_15m",41.816944,-81.208889,2,2002-09-05,2003-05-09
"64","1310_5m",41.788611,-81.213333,100,2002-07-17,2015-05-07
"65","1315_20m",42.02,-81.14,1,2013-05-07,2013-05-07
"66","1317_20m",41.935,-81.145556,5,1996-07-17,2000-07-13
"67","1318_15m",41.884167,-81.145556,1,2010-09-22,2010-09-22
"68","1318_20m",41.884167,-81.145556,109,1997-06-19,2015-05-21
"69","1319_15m",41.841111,-81.145556,116,1997-06-19,2015-05-21
"70","1319_20m",41.841111,-81.145556,2,2004-06-03,2004-06-30
"71","1320_10m",41.823056,-81.145556,115,1996-06-12,2015-05-21
"72","1320_5m",41.812222,-81.145556,25,1996-06-12,2005-05-04
"73","1327_20m",41.9285,-81.0995,7,2010-06-17,2014-09-24
"74","1328_15m",41.884167,-81.104444,3,1996-07-17,2013-06-20
"75","1329_10m",41.8375,-81.104444,2,2010-09-22,2012-08-30
"76","1330_5m",41.8285,-81.1063,1,2010-09-22,2010-09-22
"77","1339_15m",41.8539,-81.0653,1,1999-07-15,1999-07-15
"78","1339_5m",41.848333,-81.063056,1,1996-07-17,1996-07-17
"79","1346_15m",41.920556,-81.024167,1,2012-08-30,2012-08-30
"80","1346_20m",41.916944,-81.024167,2,1996-08-07,2012-08-30
"81","1347_10m",41.887,-81.0198,5,2011-08-23,2014-09-24
"82","1348_5m",41.848333,-81.024167,8,1996-08-07,2014-09-24
"83","1357_10m",41.888056,-80.975833,1,1996-08-07,1996-08-07
"84","1384_15m",41.9805,-80.889,5,2009-06-17,2013-06-20
"85","1384_20m",41.9805,-80.889,5,2009-06-17,2013-06-20
"86","1392_20m",42.021667,-80.810556,6,1996-06-17,2013-09-30
"87","1393_15m",41.992778,-80.820278,2,1996-06-17,1996-08-15
"88","1394_10m",41.9403,-80.8144,2,2011-08-29,2012-06-21
"89","1395_5m",41.9083,-80.8201,2,2011-08-29,2012-06-21
"90","14-972",41.571667,-82.77,205,1995-06-01,2015-10-05
"91","1402_15m",41.9713,-80.7752,4,2011-08-29,2013-09-30
"92","1403_10m",41.917778,-80.766667,8,1996-06-19,2013-09-30
