"","Genus_type","Taxa_name","Kingdom","Phylum","Class","Order1","Family","Genus","Type","Edible","Conversion_um_per_cell","Volumetric_equation"
"1","Actinastrum","Actinastrum","Plantae","Chlorophyta","Trebouxiophyceae","Chlorellales","Chlorellaceae","Actinastrum","Colonial","TRUE","","(Pi * Length * Width^2) / 6"
"2","Ankistrodesmus","Ankistrodesmus","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Selenastraceae","Ankistrodesmus","Solitary","TRUE","","(Pi * Length * Width^2) / 12"
"3","Aphanizomenon","Aphanizomenon","Eubacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae","Aphanizomenon","Filament","FALSE","2.50452","(Pi * Width^2 * (TotalLength / Number_of_Filaments)) / 4"
"4","Aphanocapsa","Aphanocapsa","Eubacteria","Cyanobacteria","Cyanophyceae","Synechococcales","Merismopediaceae","Aphanocapsa","Colonial","FALSE","","(Pi * Diameter^3) / 6"
"5","Aphanothece","Aphanothece","Eubacteria","Cyanobacteria","Cyanophyceae","Chroococcales","Aphanothecaceae","Aphanothece","Colonial","FALSE","","(Pi * Diameter^3) / 6"
"6","Asterionella","Asterionella","Plantae","Bacillariophyta","Bacillariophyceae","Tabellariales","Tabellariaceae","Asterionella","Colonial","TRUE","","(Pi * Length * (Width^2 / 4)"
"7","Aulacoseira","Aulacoseira","Plantae","Bacillariophyta","Coscinodiscophyceae","Aulacoseirales","Aulacoseiraceae","Aulacoseira","Filament","FALSE","10.78529","(Pi * Width^2 * (TotalLength / Number_of_Filaments)) / 4"
"8","Carteria","Carteria","Plantae","Chlorophyta","Chlorophyceae","Chlamydomonadales","Chlamydomonadaceae","Carteria","Solitary","TRUE","","(Pi * Diameter^3) / 6"
"9","Centric_Diatom","Centric Diatom","Plantae","Bacillariophyta","Coscinodiscophyceae","","","","Solitary","TRUE","","(Diameter^2 * Pi * (Diameter / 2)) / 4"
"10","Ceratium","Ceratium","Chromista","Miozoa","Dinophyceae","Gonyaulacales","Ceratiaceae","Ceratium","Solitary","FALSE","","(Pi / 12) * (Length^3 + (4 * Spine_Height * Spine_Width^2))"
"11","Characium","Characium","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Characiaceae","Characium","Solitary","TRUE","","(Pi * Length * Width^2)/12"
"12","Chilomonas","Chilomonas","Chromista","Cryptophyta","Cryptophyceae","Cryptomonadales","Campylomonadacea","Chilomonas","Solitary","TRUE","","(Pi * Length * Width^2)/6"
"13","Chlamydomonas","Chlamydomonas","Plantae","Chlorophyta","Chlorophyceae","Chlamydomonadales","Chlamydomonadaceae","Chlamydomonas","Solitary","TRUE","","(Pi * Diameter^3) / 6"
"14","Chlorophyte_Filament","Chlorophyte","Plantae","Chlorophyta","Chlorophyceae","","","","Filament","FALSE","20.93179","(Pi * Width^2 * (TotalLength / Number_of_Filaments)) / 4"
"15","Chroococcus","Chroococcus","Eubacteria","Cyanobacteria","Cyanophyceae","Chroococcales","Chroococcaceae","Chroococcus","Colonial","FALSE","","(Pi * Diameter^3) / 6"
"16","Chroomonas","Chroomonas","Chromista","Cryptophyta","Cryptophyceae","Pyrenomonadales","Chroomonadaceae","Chroomonas","Solitary","TRUE","","(Pi * Diameter^3) / 6"
"17","Closteriopsis","Closteriopsis","Plantae","Chlorophyta","Trebouxiophyceae","Chlorellales","Chlorellaceae","Closteriopsis","Solitary","TRUE","","(Pi * Length * Width^2)/12"
"18","Closterium","Closterium","Plantae","Charophyta","Conjugatophyceae","Desmidiales","Closteriaceae","Closterium","Solitary","FALSE","","(Pi * Length * Width^2)/6"
"19","Cocconeis","Cocconeis","Plantae","Bacillariophyta","Bacillariophyceae","Cocconeidales","Cocconeidaceae","Cocconeis","Solitary","TRUE","","(Diameter^2 * Pi * (Diameter / 2)) / 4"
"20","Coelastrum","Coelastrum","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Coelastrum","Colonial","TRUE","","(Pi * Diameter^3) / 6"
"21","Col_Chlorophyte_w_sheath","Chlorophyte","Plantae","Chlorophyta","Chlorophyceae","","","","Colonial","TRUE","","(Pi * Diameter^3) / 6"
"22","Col_Chlorophyte_wo_sheath","Chlorophyte","Plantae","Chlorophyta","Chlorophyceae","","","","Colonial","TRUE","","(Pi * Diameter^3) / 6"
"23","Coscinodiscus","Coscinodiscus","Plantae","Bacillariophyta","Coscinodiscophyceae","Coscinodiscales","Coscinodiscaceae","Coscinodiscus","Solitary","TRUE","","(Diameter^2 * Pi * (Diameter / 2)) / 4"
"24","Cosmarium","Cosmarium","Plantae","Charophyta","Conjugatophyceae","Desmidiales","Desmidiaceae","Cosmarium","Solitary","TRUE","","(Pi * Diameter^2 * (Diameter / 6)) / 6"
"25","Crucigenia","Crucigenia","Plantae","Chlorophyta","Trebouxiophyceae","incertae sedis","incertae sedis","Crucigenia","Colonial","TRUE","","(Pi * Diameter^3) / 6"
"26","Cryptomonas","Cryptomonas","Chromista","Cryptophyta","Cryptophyceae","Cryptomonadales","Cryptomonadaceae","Cryptomonas","Solitary","TRUE","","(Pi * Length * Width^2)/6"
"27","Cyanophyte_coccoid","Cyanophyte","Eubacteria","Cyanobacteria","Cyanophyceae","","","","Solitary","FALSE","","(Pi * Diameter^3) / 6"
"28","Cyanophyte_Filament_greater_3um","Cyanophyte","Eubacteria","Cyanobacteria","Cyanophyceae","","","","Filament","FALSE","2.450452","(Pi * Width^2 * (TotalLength / Number_of_Filaments)) / 4"
"29","Cyanophyte_Filament_less_3um","Cyanophyte","Eubacteria","Cyanobacteria","Cyanophyceae","","","","Filament","FALSE","2.450452","(Pi * Width^2 * (TotalLength / Number_of_Filaments)) / 4"
"30","Cyclotella","Cyclotella","Plantae","Bacillariophyta","Mediophyceae","Stephanodiscales","Stephanodiscaceae","Cyclotella","Solitary","TRUE","","(Diameter^2 * Pi * (Diameter / 2)) / 4"
"31","Cylindrospermopsis_Filament","Cylindrospermopsis","Eubacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae","Cylindrospermopsis","Filament","FALSE","","(Pi * Width^2 * (TotalLength / Number_of_Filaments)) / 4"
"32","Cymbella","Cymbella","Plantae","Bacillariophyta","Bacillariophyceae","Cymbellales","Cymbellaceae","Cymbella","Solitary","TRUE","","(Width * (Width / 2) * (Length - Width + (Pi / 4) * Width))"
"33","Dictyosphaerium","Dictyosphaerium","Plantae","Chlorophyta","Trebouxiophyceae","Chlorellales","Chlorellaceae","Dictyosphaerium","Colonial","TRUE","","(Pi * Diameter^3) / 6"
"34","Dimorphococcus","Dimorphococcus","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Dimorphococcus","Colonial","TRUE","","(Pi * Diameter^3) / 6"
"35","Dinobryon","Dinobryon","Plantae","Ochrophyta","Chrysophyceae","Chromulinales","Dinobryaceae","Dinobryon","Colonial","TRUE","","(Pi * Diameter^3) / 6"
"36","Dolichospermum","Dolichospermum","Eubacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae","Dolichospermum","Filament","FALSE","5.61437","(Pi * Width^2 * (TotalLength / Number_of_Filaments)) / 4"
"37","Eudorina","Eudorina","Plantae","Chlorophyta","Chlorophyceae","Chlamydomonadales","Volvocaceae","Eudorina","Colonial","TRUE","","(Pi * Diameter^3) / 6"
