"","Sample_ID","Sample_date","Sample_site","Chl_a_ugL_L"
"1","19960612-1279_20m",1996-06-12,"1279_20m",1.1214
"2","19960612-1280_15m",1996-06-12,"1280_15m",1.95444
"3","19960612-1281_10m",1996-06-12,"1281_10m",2.5098
"4","19960612-1281_5m",1996-06-12,"1281_5m",1.83696
"5","19960612-1318_20m",1996-06-12,"1318_20m",1.13208
"6","19960612-1319_15m",1996-06-12,"1319_15m",0.77964
"7","19960612-1320_10m",1996-06-12,"1320_10m",1.48452
"8","19960612-1320_5m",1996-06-12,"1320_5m",1.71948
"9","19960718-1279_20m",1996-07-18,"1279_20m",1.46316
"10","19970619-1280_15m",1997-06-19,"1280_15m",0
"11","19970619-1281_10m",1997-06-19,"1281_10m",3.24672
"12","19970619-1281_5m",1997-06-19,"1281_5m",2.5632
"13","19970619-1318_20m",1997-06-19,"1318_20m",0.79032
"14","19970619-1319_15m",1997-06-19,"1319_15m",1.8156
"15","19970619-1320_10m",1997-06-19,"1320_10m",1.43112
"16","19970619-1320_5m",1997-06-19,"1320_5m",1.69812
"17","19970702-1279_20m",1997-07-02,"1279_20m",0.33642
"18","19970702-1280_15m",1997-07-02,"1280_15m",0.69954
"19","19970702-1281_10m",1997-07-02,"1281_10m",1.4151
"20","19970702-1281_5m",1997-07-02,"1281_5m",1.26558
"21","19970702-1318_20m",1997-07-02,"1318_20m",0.75294
"22","19970702-1319_15m",1997-07-02,"1319_15m",0
"23","19970702-1320_10m",1997-07-02,"1320_10m",0.0267
"24","19970702-1320_5m",1997-07-02,"1320_5m",0.75294
"25","19990609-1279_20m",1999-06-09,"1279_20m",1.97046
"26","19990609-1280_15m",1999-06-09,"1280_15m",2.09862
"27","19990609-1281_10m",1999-06-09,"1281_10m",1.42578
"28","19990609-1281_5m",1999-06-09,"1281_5m",2.13066
"29","19990609-1318_20m",1999-06-09,"1318_20m",4.70454
"30","19990609-1319_15m",1999-06-09,"1319_15m",0.71556
"31","19990609-1320_10m",1999-06-09,"1320_10m",2.3229
"32","19990609-1320_5m",1999-06-09,"1320_5m",0.63546
"33","19990713-1279_20m",1999-07-13,"1279_20m",0.33642
"34","19990713-1281_10m",1999-07-13,"1281_10m",0.5073
"35","19990713-1281_5m",1999-07-13,"1281_5m",1.55394
"36","20000509-1279_20m",2000-05-09,"1279_20m",0
"37","20000509-1280_15m",2000-05-09,"1280_15m",1.6554
"38","20000509-1281_10m",2000-05-09,"1281_10m",1.46316
"39","20000509-1281_5m",2000-05-09,"1281_5m",5.05164
"40","20000530-1279_20m",2000-05-30,"1279_20m",1.45782
"41","20000530-1280_15m",2000-05-30,"1280_15m",0.65148
"42","20000530-1281_10m",2000-05-30,"1281_10m",1.34568
"43","20000530-1281_5m",2000-05-30,"1281_5m",3.90888
"44","20000530-1318_20m",2000-05-30,"1318_20m",0.89712
"45","20000530-1319_15m",2000-05-30,"1319_15m",0.09612
"46","20000530-1320_10m",2000-05-30,"1320_10m",0
"47","20000530-1320_5m",2000-05-30,"1320_5m",0.03204
"48","20000614-1279_20m",2000-06-14,"1279_20m",0.70755
"49","20000614-1280_15m",2000-06-14,"1280_15m",7.91655
"50","20000614-1281_10m",2000-06-14,"1281_10m",8.31171
"51","20000614-1281_5m",2000-06-14,"1281_5m",8.58939
"52","20000614-1319_15m",2000-06-14,"1319_15m",5.06499
"53","20000614-1320_5m",2000-06-14,"1320_5m",5.29995
"54","20000623-1279_20m",2000-06-23,"1279_20m",1.32165
"55","20000623-1280_15m",2000-06-23,"1280_15m",4.23729
"56","20000623-1281_10m",2000-06-23,"1281_10m",8.68551
"57","20000623-1281_5m",2000-06-23,"1281_5m",3.90621
"58","20000623-1319_15m",2000-06-23,"1319_15m",6.77913
"59","20000623-1320_10m",2000-06-23,"1320_10m",5.63637
"60","20000623-1320_5m",2000-06-23,"1320_5m",2.11731
"61","20000713-1279_20m",2000-07-13,"1279_20m",0
"62","20000713-1280_15m",2000-07-13,"1280_15m",1.51122
"63","20000713-1281_10m",2000-07-13,"1281_10m",1.8423
"64","20000713-1281_5m",2000-07-13,"1281_5m",0.333047368
"65","20000713-1320_10m",2000-07-13,"1320_10m",0.5874
"66","20000713-1320_5m",2000-07-13,"1320_5m",2.0025
"67","20000907-1279_20m",2000-09-07,"1279_20m",2.275572941
"68","20000907-1280_15m",2000-09-07,"1280_15m",3.55644
"69","20000907-1281_10m",2000-09-07,"1281_10m",2.51514
"70","20000907-1281_5m",2000-09-07,"1281_5m",3.27342
"71","20000908-1318_20m",2000-09-08,"1318_20m",1.30596699
"72","20000908-1319_15m",2000-09-08,"1319_15m",4.03704
"73","20000908-1320_10m",2000-09-08,"1320_10m",3.08652
"74","20000908-1320_5m",2000-09-08,"1320_5m",1.74885
"75","20010523-1279_20m",2001-05-23,"1279_20m",0
"76","20010523-1280_15m",2001-05-23,"1280_15m",2.2428
"77","20010523-1281_10m",2001-05-23,"1281_10m",0
"78","20010523-1281_5m",2001-05-23,"1281_5m",0.6141
"79","20010608-1279_20m",2001-06-08,"1279_20m",0.83304
"80","20010608-1280_15m",2001-06-08,"1280_15m",0.94785
"81","20010608-1281_10m",2001-06-08,"1281_10m",1.31898
"82","20010608-1281_5m",2001-06-08,"1281_5m",0
"83","20010608-1318_20m",2001-06-08,"1318_20m",0.14151
"84","20010608-1319_15m",2001-06-08,"1319_15m",0.36312
"85","20010608-1320_10m",2001-06-08,"1320_10m",0.17889
"86","20010608-1320_5m",2001-06-08,"1320_5m",1.97046
"87","20010621-1279_20m",2001-06-21,"1279_20m",1.18014
"88","20010621-1280_15m",2001-06-21,"1280_15m",0.89178
"89","20010621-1281_10m",2001-06-21,"1281_10m",1.88502
"90","20010621-1281_5m",2001-06-21,"1281_5m",2.47776
"91","20010621-1318_20m",2001-06-21,"1318_20m",0.95586
"92","20010621-1319_15m",2001-06-21,"1319_15m",1.18014
"93","20010621-1320_10m",2001-06-21,"1320_10m",1.71414
"94","20010621-1320_5m",2001-06-21,"1320_5m",2.69403
"95","20010802-1279_20m",2001-08-02,"1279_20m",1.28516
"96","20010802-1280_15m",2001-08-02,"1280_15m",1.30652
"97","20010802-1281_10m",2001-08-02,"1281_10m",0.82058
"98","20010802-1318_20m",2001-08-02,"1318_20m",1.24778
"99","20010802-1319_15m",2001-08-02,"1319_15m",1.17836
"100","20010802-1320_10m",2001-08-02,"1320_10m",1.12496
"101","20010802-1320_5m",2001-08-02,"1320_5m",0.50018
"102","20020708-1279_20m",2002-07-08,"1279_20m",1.269585
"103","20020708-1280_15m",2002-07-08,"1280_15m",1.141425
"104","20020708-1281_10m",2002-07-08,"1281_10m",3.130575
"105","20020708-1281_5m",2002-07-08,"1281_5m",2.405225
"106","20020708-1318_20m",2002-07-08,"1318_20m",1.088025
"107","20020708-1319_15m",2002-07-08,"1319_15m",1.368375
"108","20020708-1320_10m",2002-07-08,"1320_10m",1.280265
"109","20020708-1320_5m",2002-07-08,"1320_5m",1.408425
"110","20020717-1279_20m",2002-07-17,"1279_20m",1.2015
"111","20020717-1280_15m",2002-07-17,"1280_15m",1.07868
"112","20020717-1281_10m",2002-07-17,"1281_10m",4.68318
"113","20020717-1281_5m",2002-07-17,"1281_5m",4.48293
"114","20020717-1310_10m",2002-07-17,"1310_10m",2.20542
"115","20020717-1310_5m",2002-07-17,"1310_5m",3.26541
"116","20020809-1279_20m",2002-08-09,"1279_20m",1.104045
"117","20020809-1280_15m",2002-08-09,"1280_15m",1.964769
"118","20020809-1281_10m",2002-08-09,"1281_10m",1.005255
"119","20020809-1281_5m",2002-08-09,"1281_5m",1.678095
"120","20020809-1310_10m",2002-08-09,"1310_10m",0.837045
"121","20020809-1310_5m",2002-08-09,"1310_5m",1.881015
"122","20020826-1281_10m",2002-08-26,"1281_10m",1.54059
"123","20020826-1310_10m",2002-08-26,"1310_10m",1.45782
"124","20020826-1310_5m",2002-08-26,"1310_5m",1.45782
"125","20020905-1279_20m",2002-09-05,"1279_20m",3.68727
"126","20020905-1280_15m",2002-09-05,"1280_15m",3.52173
"127","20020905-1281_10m",2002-09-05,"1281_10m",3.44697
"128","20020905-1281_5m",2002-09-05,"1281_5m",3.58314
"129","20020905-1310_10m",2002-09-05,"1310_10m",3.48969
"130","20020905-1310_5m",2002-09-05,"1310_5m",3.73533
"131","20020913-1279_20m",2002-09-13,"1279_20m",3.25473
"132","20020913-1280_15m",2002-09-13,"1280_15m",3.37755
"133","20020913-1281_10m",2002-09-13,"1281_10m",2.68335
"134","20020913-1281_5mA",2002-09-13,"1281_5m",6.9687
"135","20020913-1281_5mB",2002-09-13,"1281_5m",5.7672
"136","20020913-1310_10m",2002-09-13,"1310_10m",4.1385
"137","20020913-1310_5m",2002-09-13,"1310_5m",1.23888
"138","20020926-1279_20m",2002-09-26,"1279_20m",1.4418
"139","20020926-1280_15m",2002-09-26,"1280_15m",3.8448
"140","20020926-1281_10m",2002-09-26,"1281_10m",7.56678
"141","20020926-1281_5m",2002-09-26,"1281_5m",10.11789474
"142","20020926-1310_10m",2002-09-26,"1310_10m",5.13708
"143","20020926-1310_5m",2002-09-26,"1310_5m",1.34568
"144","20021023-1281_5mA",2002-10-23,"1281_5m",2.39232
"145","20021023-1281_5mB",2002-10-23,"1281_5m",1.5664
"146","20030509-1279_20m",2003-05-09,"1279_20m",3.41226
"147","20030509-1280_15m",2003-05-09,"1280_15m",2.15736
"148","20030509-1281_10m",2003-05-09,"1281_10m",2.20542
"149","20030509-1281_5m",2003-05-09,"1281_5m",2.44572
"150","20030509-1310_10m",2003-05-09,"1310_10m",1.14276
"151","20030509-1310_5m",2003-05-09,"1310_5m",1.19616
"152","20030606-1279_20m",2003-06-06,"1279_20m",4.76595
"153","20030606-1280_15m",2003-06-06,"1280_15m",1.26024
"154","20030606-1281_10m",2003-06-06,"1281_10m",2.89784
"155","20030606-1281_5m",2003-06-06,"1281_5m",13.15776
"156","20030606-1310_10m",2003-06-06,"1310_10m",4.806
"157","20030606-1310_5m",2003-06-06,"1310_5m",2.87826
"158","20030606-1319_15m",2003-06-06,"1319_15m",2.49912
"159","20030623-1279_20m",2003-06-23,"1279_20m",1.60734
"160","20030623-1280_15m",2003-06-23,"1280_15m",1.66786
"161","20030623-1281_10m",2003-06-23,"1281_10m",2.68958
"162","20030623-1281_5m",2003-06-23,"1281_5m",2.97794
"163","20030623-1310_10m",2003-06-23,"1310_10m",2.41902
"164","20030623-1310_5m",2003-06-23,"1310_5m",4.85406
"165","20030702-1279_20m",2003-07-02,"1279_20m",1.97313
"166","20030702-1280_15m",2003-07-02,"1280_15m",1.22019
"167","20030702-1281_10m",2003-07-02,"1281_10m",3.55911
"168","20030702-1281_5m",2003-07-02,"1281_5m",5.81793
"169","20030702-1310_10m",2003-07-02,"1310_10m",1.65273
"170","20030702-1310_5m",2003-07-02,"1310_5m",3.28143
"171","20030808-1279_20m",2003-08-08,"1279_20m",2.403
"172","20030808-1280_15m",2003-08-08,"1280_15m",6.41868
"173","20030808-1281_10m",2003-08-08,"1281_10m",3.26808
"174","20030808-1281_5m",2003-08-08,"1281_5m",3.55644
"175","20030808-1310_10m",2003-08-08,"1310_10m",2.54451
"176","20030808-1310_5m",2003-08-08,"1310_5m",2.1627
"177","20030910-1279_20m",2003-09-10,"1279_20m",3.11856
"178","20030910-1280_15m",2003-09-10,"1280_15m",2.93166
"179","20030910-1281_10m",2003-09-10,"1281_10m",3.42828
"180","20030910-1281_5m",2003-09-10,"1281_5m",7.52584
"181","20030910-1310_10m",2003-09-10,"1310_10m",3.2841
"182","20030910-1310_5m",2003-09-10,"1310_5m",1.2282
"183","20030924-1281_10m",2003-09-24,"1281_10m",6.0876
"184","20030924-1281_5m",2003-09-24,"1281_5m",13.57428
"185","20030924-1310_10m",2003-09-24,"1310_10m",4.54968
"186","20030924-1310_5m",2003-09-24,"1310_5m",5.67108
"187","20040506-1279_20m",2004-05-06,"1279_20m",5.85353
"188","20040506-1280_15m",2004-05-06,"1280_15m",4.32985
"189","20040506-1281_10m",2004-05-06,"1281_10m",0.35511
"190","20040506-1281_5m",2004-05-06,"1281_5m",8.24229
"191","20040506-1318_20m",2004-05-06,"1318_20m",3.36153
"192","20040506-1319_15m",2004-05-06,"1319_15m",6.22377
"193","20040506-1320_10m",2004-05-06,"1320_10m",2.66733
"194","20040506-1320_5m",2004-05-06,"1320_5m",2.23479
"195","20040520-1279_20m",2004-05-20,"1279_20m",2.107656923
"196","20040520-1280_15m",2004-05-20,"1280_15m",2.23746
"197","20040520-1281_10m",2004-05-20,"1281_10m",2.06124
"198","20040520-1281_5m",2004-05-20,"1281_5m",2.51781
"199","20040520-1310_5m",2004-05-20,"1310_5m",0.84372
"200","20040520-1318_20m",2004-05-20,"1318_20m",2.15202
"201","20040520-1319_15m",2004-05-20,"1319_15m",2.47242
"202","20040520-1320_10m",2004-05-20,"1320_10m",2.77146
"203","20040603-1279_20m",2004-06-03,"1279_20m",0.86775
"204","20040603-1280_15m",2004-06-03,"1280_15m",2.65398
"205","20040603-1281_10m",2004-06-03,"1281_10m",8.84037
"206","20040603-1281_5m",2004-06-03,"1281_5m",8.88843
"207","20040603-1318_20m",2004-06-03,"1318_20m",1.94109
"208","20040603-1319_15m",2004-06-03,"1319_15m",2.16003
"209","20040603-1320_10m",2004-06-03,"1320_10m",4.39215
"210","20040603-1320_5m",2004-06-03,"1320_5m",1.56195
"211","20040618-1281_10m",2004-06-18,"1281_10m",4.17855
