"","Sample_site","Latitude","Longitude","n","FirstDate","LastDate"
"1","1-990",41.456389,-82.642778,9,"1995-05-17","1996-09-23"
"2","10-982",41.568056,-82.676389,10,"1995-05-17","1996-08-21"
"3","10-982",NA,NA,1,"1996-09-23","1996-09-23"
"4","1046_10m",41.600278,-82.270556,1,"1996-08-13","1996-08-13"
"5","1049_10m",41.476389,-82.270556,2,"1996-08-13","1996-08-13"
"6","1056_10m",41.5126,-82.2176,2,"2012-06-19","2013-10-09"
"7","1057_5m",41.4712,-82.2163,1,"2009-08-19","2009-08-19"
"8","1057_5m",41.4743,-82.2213,1,"2009-10-06","2009-10-06"
"9","1057_5m",41.47483333,-82.2165,3,"2012-10-04","2013-10-09"
"10","1057_5m",41.476389,-82.226944,3,"1996-08-13","2012-06-19"
"11","1058_5m",41.4748,-82.2148,1,"2009-06-15","2009-06-15"
"12","1062_15m",41.6012,-82.1832,1,"2009-10-06","2009-10-06"
"13","1062_15m",41.6083,-82.1374,4,"2010-06-14","2013-10-09"
"14","1063_10m",41.5455,-82.16916667,2,"2012-10-04","2013-06-25"
"15","1063_10m",41.5633,-82.1835,1,"2009-10-06","2009-10-06"
"16","1063_10m",41.5645,-82.1957,1,"2009-06-15","2009-06-15"
"17","1063_10m",41.567778,-82.2175,3,"2009-08-19","2012-09-05"
"18","1063_15m",41.567778,-82.2175,1,"2003-09-03","2003-09-03"
"19","1065_10m",41.4992,-82.19,2,"2003-08-21","2003-09-03"
"20","1065_15m",41.484722,-82.184722,1,"2003-08-21","2003-08-21"
"21","1065_5m",41.47,-82.199,2,"2003-08-21","2003-09-03"
"22","1070_15m",41.5852,-82.1302,1,"2009-08-19","2009-08-19"
"23","1070_15m",41.5905,-82.1455,1,"2009-06-15","2009-06-15"
"24","1070_15m",41.600278,-82.106667,1,"1996-08-13","1996-08-13"
"25","1071_15m",41.573,-82.1357,2,"2011-09-01","2012-09-04"
"26","1071_15m",41.5825,-82.14066667,1,"2012-10-04","2012-10-04"
"27","1072_10m",41.5167,-82.147,1,"2010-06-14","2010-06-14"
"28","1073_5m",41.4995,-82.1236,2,"2010-06-14","2012-09-05"
"29","11-992",41.600278,-82.598889,8,"1995-05-17","1996-08-21"
"30","11-992",NA,NA,1,"1996-09-23","1996-09-23"
"31","11-992B",41.600278,-82.598889,1,"1996-07-15","1996-07-15"
"32","1109_20m",41.725556,-81.936944,1,"1996-06-20","1996-06-20"
"33","1110_20m",41.682222,-81.936944,2,"1996-08-13","1996-08-13"
"34","1112_15m",41.600278,-81.936944,2,"1996-06-20","1996-08-13"
"35","1114_10m",41.519722,-81.9325,3,"1996-06-20","1996-08-13"
"36","1120_20m",41.6803,-81.89,2,"2010-06-14","2013-06-24"
"37","1124_10m",41.5197,-81.8918,1,"2009-09-23","2009-09-23"
"38","1124_10m",41.523,-81.8751,2,"2012-06-19","2012-09-05"
"39","1125_5m",41.489167,-81.893611,4,"1996-06-20","2012-09-05"
"40","1134_15m",41.5537,-81.8658,1,"2009-08-19","2009-08-19"
"41","1136_5m",41.4922,-81.8607,1,"2009-09-23","2009-09-23"
"42","1144_15m",41.6067,-81.8044,1,"2010-06-14","2010-06-14"
"43","1153_15m",NA,NA,1,"2013-06-24","2013-06-24"
"44","1154_20m",41.6755,-81.7733,1,"2009-06-15","2009-06-15"
"45","1154_20m",41.6777,-81.7691,4,"2011-08-31","2012-10-03"
"46","1154_20m",41.6973,-81.7853,1,"2009-09-23","2009-09-23"
"47","1155_15m",41.6407,-81.772,3,"2009-09-23","2012-10-03"
"48","1157_15m",41.566667,-81.750833,3,"2003-09-04","2012-06-18"
"49","1157_15m",41.57833333,-81.7675,1,"2013-10-04","2013-10-04"
"50","1159_5m",41.4977,-81.7572,4,"2010-06-14","2013-10-08"
"51","1159_5m",41.4988,-81.7572,1,"2009-06-16","2009-06-16"
"52","1159_5m",41.49883333,-81.76466667,1,"2013-06-24","2013-06-24"
"53","1159_5m",41.4992,-81.7533,1,"2009-08-19","2009-08-19"
"54","1166_20m",41.684167,-81.733889,1,"2003-09-04","2003-09-04"
"55","1168_15m",41.6033,-81.7308,1,"2009-06-15","2009-06-15"
"56","1170_10m",41.511,-81.74366667,2,"2013-06-24","2013-10-08"
"57","1170_10m",41.5133,-81.7275,1,"2009-08-19","2009-08-19"
"58","1170_10m",41.517778,-81.734444,4,"2003-09-04","2012-10-04"
"59","1170_10m",41.5255,-81.7136,1,"2009-06-15","2009-06-15"
"60","1170_5m",41.508889,-81.724722,2,"1996-06-20","1996-08-12"
"61","1170_7m",41.508889,-81.724722,1,"2003-09-04","2003-09-04"
"62","1179_20m",41.682222,-81.689444,2,"1996-06-20","1996-08-12"
"63","1181_15m",41.584722,-81.684444,2,"1996-06-26","1996-08-12"
"64","1182_10m",41.563056,-81.694167,2,"1996-06-26","1996-08-12"
"65","12-986",41.607222,-82.640833,17,"1995-05-17","1998-09-21"
"66","1208_24m",42.015,-81.596,1,"2009-05-05","2009-05-05"
"67","1221_23m",41.9233,-81.5097,1,"2009-05-05","2009-05-05"
"68","1247_22m",41.8557,-81.436,1,"2009-05-05","2009-05-05"
"69","1250_10m",41.725556,-81.446667,1,"1996-08-06","1996-08-06"
"70","1251_5m",41.693056,-81.433333,2,"1996-07-18","1996-08-06"
