"","Genus_sp_95toPresent","Order1"
"1","Epischura lacustris","Calanoida"
"2","Skistodiaptomus oregonensis","Calanoida"
"3","Skistodiaptomus oregonensis","Calanoida"
"4","Leptodiaptomus minutus","Calanoida"
"5","Leptodiaptomus minutus","Calanoida"
"6","Diacyclops thomasi","Cyclopoida"
"7","Diacyclops thomasi","Cyclopoida"
"8","Leptodiaptomus ashlandi","Calanoida"
"9","Leptodiaptomus ashlandi","Calanoida"
"10","Tropocyclops prasinus mexicanus","Cyclopoida"
"11","Tropocyclops prasinus mexicanus","Cyclopoida"
"12","Acanthocyclops vernalis","Cyclopoida"
"13","Acanthocyclops vernalis","Cyclopoida"
"14","Limnocalanus macrurus","Calanoida"
"15","Limnocalanus macrurus","Calanoida"
"16","Mesocyclops spp.","Cyclopoida"
"17","Mesocyclops spp.","Cyclopoida"
"18","Eurytemora carolleeae","Calanoida"
"19","Eurytemora carolleeae","Calanoida"
"20","Eucyclops spp.","Cyclopoida"
"21","Eucyclops spp.","Cyclopoida"
"22","Leptodiaptomus sicilis","Calanoida"
"23","Leptodiaptomus sicilis","Calanoida"
"24","Leptodiaptomus siciloides","Calanoida"
"25","Leptodiaptomus siciloides","Calanoida"
"26","Harpacticoida spp.","Harpacticoida"
"27","Harpacticoida spp.","Harpacticoida"
"28","Cyclopoida spp.","Cyclopoida"
"29","Cyclopoida spp.","Cyclopoida"
"30","Ergasilus sp.","Poecilostomatoida"
"31","Ergasilus sp.","Poecilostomatoida"
"32","Calanoida spp.","Calanoida"
"33","Calanoida spp.","Calanoida"
"34","Paracyclops poppei","Cyclopoida"
"35","Paracyclops poppei","Cyclopoida"
"36","Calanoida spp.","Calanoida"
"37","Calanoida spp.","Calanoida"
"38","Skistodiaptomus reighardi","Calanoida"
"39","Skistodiaptomus reighardi","Calanoida"
"40","Calanoida spp.","Calanoida"
"41","Calanoida spp.","Calanoida"
"42","Cyclopoida spp.","Cyclopoida"
"43","Calanoida spp.","Calanoida"
"44","Cyclopoida spp.","Cyclopoida"
"45","Acanthocyclops vernalis","Cyclopoida"
"46","Diacyclops thomasi","Cyclopoida"
"47","Eurytemora carolleeae","Calanoida"
"48","Leptodiaptomus ashlandi","Calanoida"
"49","Leptodiaptomus minutus","Calanoida"
"50","Leptodiaptomus sicilis","Calanoida"
"51","Leptodiaptomus siciloides","Calanoida"
"52","Mesocyclops spp.","Cyclopoida"
"53","Skistodiaptomus oregonensis","Calanoida"
"54","Copepoda spp.","Copepoda spp."
"55","Copepoda spp.","Copepoda spp."
"56","Calanoida spp. nauplii","Calanoida"
"57","Harpacticoida spp. nauplii","Harpacticoida"
"58","Cyclopoida spp. nauplii","Cyclopoida"
"59","Tropocyclops prasinus mexicanus","Cyclopoida"
"60","Cyclopoida spp.","Cyclopoida"
"61","Eucyclops spp.","Cyclopoida"
"62","Eucyclops spp.","Cyclopoida"
"63","Eucyclops spp.","Cyclopoida"
"64","Eucyclops spp.","Cyclopoida"
"65","Calanoida spp.","Calanoida"
"66","Cyclopoida spp.","Cyclopoida"
"67","Cyclopoida spp.","Cyclopoida"
"68","Calanoida spp.","Calanoida"
"69","Cyclopoida spp.","Cyclopoida"
"70","Cyclopoida spp.","Cyclopoida"
"71","Cyclopoida spp.","Cyclopoida"
"72","Cyclopoida spp.","Cyclopoida"
"73","Calanoida spp.","Calanoida"
"74","Calanoida spp.","Calanoida"
"75","Argulus sp.","Arguloida"
"76","Argulus sp.","Arguloida"
"77","Argulus sp.","Arguloida"
"78","Cyclopoida spp.","Cyclopoida"
"79","Harpacticoida spp.","Harpacticoida"
"80","Cyclopoida spp.","Cyclopoida"
"81","Cyclopoida spp.","Cyclopoida"
"82","Cyclopoida spp.","Cyclopoida"
"83","Eucyclops spp.","Cyclopoida"
"84","Eucyclops spp.","Cyclopoida"
"85","Eucyclops spp.","Cyclopoida"
"86","Eucyclops spp.","Cyclopoida"
"87","Eucyclops spp.","Cyclopoida"
"88","Eucyclops spp.","Cyclopoida"
"89","Eucyclops spp.","Cyclopoida"
"90","Eucyclops spp.","Cyclopoida"
"91","Eucyclops spp.","Cyclopoida"
"92","Eucyclops spp.","Cyclopoida"
"93","Eucyclops spp.","Cyclopoida"
"94","Ergasilus sp.","Poecilostomatoida"
"95","Eucyclops spp.","Cyclopoida"
"96","Harpacticoida spp.","Harpacticoida"
"97","Cyclopoida spp.","Cyclopoida"
"98","Cyclopoida spp.","Cyclopoida"
"99","Calanoida spp.","Calanoida"
"100","Paracyclops poppei","Cyclopoida"
"101","Calanoida spp.","Calanoida"
"102","Calanoida spp.","Calanoida"
"103","Skistodiaptomus reighardi","Calanoida"
"104","Cyclopoida spp.","Cyclopoida"
"105","Cyclopoida spp.","Cyclopoida"
"106","Cyclopoida spp.","Cyclopoida"
"107","Cyclopoida spp.","Cyclopoida"
"108","Cyclopoida spp.","Cyclopoida"
"109","Cyclopoida spp.","Cyclopoida"
"110","Cyclopoida spp.","Cyclopoida"
"111","Cyclopoida spp.","Cyclopoida"
"112","Cyclopoida spp.","Cyclopoida"
"113","Calanoida spp.","Calanoida"
