Information,Value,Sample_ID,Genus_sp_lifestage,Number_counted,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,
Sample_ID,20200812-36-873,20200812-36-873,B_longirostris_w_eggs,,,,,,,,,,,,,,,,,,,,,,
Sample_date,20200812,20200812-36-873,B_longirostris_wo_eggs,18,10.5,12,11,11,14,10,11,15,11,11,12,15,14,13,15,15,12,11,,,
Sample_site,36-873,20200812-36-873,D_mendotae_w_eggs,,,,,,,,,,,,,,,,,,,,,,
Sample_time,,20200812-36-873,D_mendotae_wo_eggs,,,,,,,,,,,,,,,,,,,,,,
Project,LEPAS,20200812-36-873,D_retrocurva_w_eggs,,,,,,,,,,,,,,,,,,,,,,
Water_body,Western Erie,20200812-36-873,D_retrocurva_wo_eggs,3,34,38,38,,,,,,,,,,,,,,,,,,
Counter_name,CMD,20200812-36-873,Diaphanosoma_w_eggs,17,38,42,46,38,36,35,36,43,36,52,51,55,40,39,45,39,36,,,,
Date_counted,20210301,20200812-36-873,Diaphanosoma_wo_eggs,44,18,35,26,33,28,26,22,28,18,21,30,37,41,32,24,31,37,33,29,25,
Microscope_number,117546,20200812-36-873,B_coregoni_w_eggs,29,24,29,28,22,28,21,22,24,28,27,25,25,24,19,29,26,32,27,27,24,
mm_per_ocular_unit,0.0185,20200812-36-873,B_coregoni_wo_eggs,13,21,22,18,14,19,20,18,18,16,18,19,15,18,,,,,,,,
Subsampled_vol_mL,11,20200812-36-873,L_kindti_w_eggs,,,,,,,,,,,,,,,,,,,,,,
Diluted_vol_mL,3000,20200812-36-873,L_kindti_wo_eggs,2,152,100,,,,,,,,,,,,,,,,,,,
Meter_1,93688,20200812-36-873,D_pulex_w_eggs,,,,,,,,,,,,,,,,,,,,,,
Meter_2,93925,20200812-36-873,D_pulex_wo_eggs,,,,,,,,,,,,,,,,,,,,,,
Revolutions,237,20200812-36-873,D_parvula_w_eggs,,,,,,,,,,,,,,,,,,,,,,
Depth_m,7,20200812-36-873,D_parvula_wo_eggs,,,,,,,,,,,,,,,,,,,,,,
Surface_temp,24.8,20200812-36-873,B_longirostris_eggs,,,,,,,,,,,,,,,,,,,,,,
Bottom_temp,24.4,20200812-36-873,D_mendotae_eggs,,,,,,,,,,,,,,,,,,,,,,
Ave_temp,24.6,20200812-36-873,D_retrocurva_eggs,,,,,,,,,,,,,,,,,,,,,,
Secchi_depth_m,1.5,20200812-36-873,Diaphanosoma_eggs,43,2,3,3,2,2,2,2,3,2,4,3,3,2,2,4,2,2,,,,
Surface_DO,9.07,20200812-36-873,B_coregoni_eggs,107,4,3,7,3,8,2,2,4,3,6,6,3,2,3,1,6,5,9,4,6,3
Bottom_DO,7.85,20200812-36-873,L_kindti_eggs,,,,,,,,,,,,,,,,,,,,,,
Latitude,,20200812-36-873,Loose_Bosmina_eggs,,,,,,,,,,,,,,,,,,,,,,
Longitude,,20200812-36-873,Loose_Cladoceran_eggs,1,,,,,,,,,,,,,,,,,,,,,
Net_diameter_m,0.5,20200812-36-873,Loose_Daphnia_eggs,,,,,,,,,,,,,,,,,,,,,,
Comments,"Lots of microcystis, bythotrephes present",20200812-36-873,D_parvula_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,D_pulex_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,A_vernalis_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,A_vernalis_wo_eggs,4,39,47,33,33,,,,,,,,,,,,,,,,,
,,20200812-36-873,D_thomasi_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,D_thomasi_wo_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,E_lacustris,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,E_carolleeae_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,E_carolleeae_wo_eggs,1,48,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,L_ashlandi_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,L_ashlandi_wo_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,L_minutus_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,L_minutus_wo_eggs,1,36,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,L_sicilis_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,L_sicilis_wo_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,L_siciloides_w_eggs,7,49,52,52,57,52,55,56,,,,,,,,,,,,,,
,,20200812-36-873,L_siciloides_wo_eggs,18,53,52,48,47,53,46,47,52,50,52,50,51,50,47,47,49,52,53,,,
,,20200812-36-873,M_edax_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,M_edax_wo_eggs,28,40,38,38,36,36,36,39,35,54,37,38,40,38,37,40,38,39,38,35,37,
,,20200812-36-873,S_oregonensis_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,S_oregonensis_wo_eggs,1,49,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Diaptomidae_immature,126,28,45,25,38,29,27,38,26,23,23,25,26,29,23,25,24,20,35,37,18,
,,20200812-36-873,Temoridae_immature,2,25,27,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Cyclopidae_immature,123,15,28,25,24,26,31,21,19,31,32,31,16,22,27,20,30,25,22,28,27,
,,20200812-36-873,Calanoid_nauplii,266,8,14,8,12,7,14,7,7,7,6,12,7,7,9,8,12,9,8,8,15,
,,20200812-36-873,Cyclopoid_nauplii,31,7,7,6,6,7,9,6,6,6,5,9,8,9,7,8,10,5,7,10,10,
,,20200812-36-873,T_prasinus_mexicanus_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,T_prasinus_mexicanus_wo_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,S_reighardi_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,S_reighardi_wo_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,S_pallidus_w_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,S_pallidus_wo_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,A_vernalis_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,D_thomasi_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,E_carolleeae_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,L_ashlandi_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,L_minutus_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,L_sicilis_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,L_siciloides_eggs,91,5,12,10,15,15,19,15,,,,,,,,,,,,,,
,,20200812-36-873,M_edax_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,S_oregonensis_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Loose_Copepod_eggs,51,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,T_prasinus_mexicanus_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,S_reighardi_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,S_pallidus_eggs,,,,,,,,,,,,,,,,,,,,,,
,,20200812-36-873,Asplanchna,,,,,,,,,,,,,,,,,,,,,,
