Information,Value,Sample_ID,Genus_sp_lifestage,Number_counted,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20
Sample_ID,20200908-36-873,20200908-36-873,B_longirostris_w_eggs,1,19,,,,,,,,,,,,,,,,,,,
Sample_date,20200908,20200908-36-873,B_longirostris_wo_eggs,11,16,13,14,12,12,15,11,15,11,12,13,,,,,,,,,
Sample_site,36-873,20200908-36-873,D_mendotae_w_eggs,,,,,,,,,,,,,,,,,,,,,
Sample_time,,20200908-36-873,D_mendotae_wo_eggs,,,,,,,,,,,,,,,,,,,,,
Project,LEPAS,20200908-36-873,D_retrocurva_w_eggs,3,80,50,56,,,,,,,,,,,,,,,,,
Water_body,Western Erie,20200908-36-873,D_retrocurva_wo_eggs,8,35,30,38,54,36,33,30,29,,,,,,,,,,,,
Counter_name,CMD,20200908-36-873,Diaphanosoma_w_eggs,2,44,35,,,,,,,,,,,,,,,,,,
Date_counted,20201229,20200908-36-873,Diaphanosoma_wo_eggs,29,32,33,23,42,35,40,55,16,20,45,32,28,26,27,35,31,16,23,21,40
Microscope_number,117546,20200908-36-873,B_coregoni_w_eggs,18,25,29,24,20,21,19,24,22,21,24,24,21,28,2,20,21,25,22,,
mm_per_ocular_unit,0.0185,20200908-36-873,B_coregoni_wo_eggs,104,15,19,15,19,15,20,16,15,17,19,16,18,18,18,16,21,23,18,18,18
Subsampled_vol_mL,12,20200908-36-873,L_kindti_w_eggs,,,,,,,,,,,,,,,,,,,,,
Diluted_vol_mL,3000,20200908-36-873,L_kindti_wo_eggs,,,,,,,,,,,,,,,,,,,,,
Meter_1,99362,20200908-36-873,D_pulex_w_eggs,,,,,,,,,,,,,,,,,,,,,
Meter_2,99695,20200908-36-873,D_pulex_wo_eggs,,,,,,,,,,,,,,,,,,,,,
Revolutions,333,20200908-36-873,D_parvula_w_eggs,,,,,,,,,,,,,,,,,,,,,
Depth_m,6.9,20200908-36-873,D_parvula_wo_eggs,,,,,,,,,,,,,,,,,,,,,
Surface_temp,22.3,20200908-36-873,B_longirostris_eggs,2,2,,,,,,,,,,,,,,,,,,,
Bottom_temp,22.2,20200908-36-873,D_mendotae_eggs,,,,,,,,,,,,,,,,,,,,,
Ave_temp,22.25,20200908-36-873,D_retrocurva_eggs,8,4,2,2,,,,,,,,,,,,,,,,,
Secchi_depth_m,1.5,20200908-36-873,Diaphanosoma_eggs,2,1,1,,,,,,,,,,,,,,,,,,
Surface_DO,8.73,20200908-36-873,B_coregoni_eggs,47,3,8,4,2,2,1,2,2,2,2,3,1,6,2,2,2,1,2,,
Bottom_DO,8.52,20200908-36-873,L_kindti_eggs,,,,,,,,,,,,,,,,,,,,,
Latitude,,20200908-36-873,Loose_Bosmina_eggs,8,,,,,,,,,,,,,,,,,,,,
Longitude,,20200908-36-873,Loose_Cladoceran_eggs,78,,,,,,,,,,,,,,,,,,,,
Net_diameter_m,0.5,20200908-36-873,Loose_Daphnia_eggs,,,,,,,,,,,,,,,,,,,,,
