"","Information","Value","Sample_ID","Genus_sp_lifestage","Number_counted","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16","L17","L18","L19","L20"
"1","Sample_ID","20200812-1281_5m","20200812-1281_5m","B_longirostris_w_eggs","1","21",,,,,,,,,,,,,,,,,,,
"2","Sample_date","20200812","20200812-1281_5m","B_longirostris_wo_eggs","2","10","15",,,,,,,,,,,,,,,,,,
"3","Sample_site","1281_5m","20200812-1281_5m","D_mendotae_w_eggs",,,,,,,,,,,,,,,,,,,,,
"4","Sample_time","15:49","20200812-1281_5m","D_mendotae_wo_eggs",,,,,,,,,,,,,,,,,,,,,
"5","Project","LEPAS","20200812-1281_5m","D_retrocurva_w_eggs",,,,,,,,,,,,,,,,,,,,,
"6","Water_body","Central Basin","20200812-1281_5m","D_retrocurva_wo_eggs",,,,,,,,,,,,,,,,,,,,,
"7","Counter_name","CMD","20200812-1281_5m","Diaphanosoma_w_eggs",,,,,,,,,,,,,,,,,,,,,
"8","Date_counted","20210329","20200812-1281_5m","Diaphanosoma_wo_eggs",,,,,,,,,,,,,,,,,,,,,
"9","Microscope_number","117546","20200812-1281_5m","B_coregoni_w_eggs",,,,,,,,,,,,,,,,,,,,,
"10","mm_per_ocular_unit","0.0185","20200812-1281_5m","B_coregoni_wo_eggs",,,,,,,,,,,,,,,,,,,,,
"11","Subsampled_vol_mL","12","20200812-1281_5m","L_kindti_w_eggs",,,,,,,,,,,,,,,,,,,,,
"12","Diluted_vol_mL","1500","20200812-1281_5m","L_kindti_wo_eggs","6","160","240","100","161","110","115",,,,,,,,,,,,,,
"13","Meter_1","566094","20200812-1281_5m","D_pulex_w_eggs",,,,,,,,,,,,,,,,,,,,,
"14","Meter_2","566413","20200812-1281_5m","D_pulex_wo_eggs",,,,,,,,,,,,,,,,,,,,,
"15","Revolutions","319","20200812-1281_5m","D_parvula_w_eggs",,,,,,,,,,,,,,,,,,,,,
"16","Depth_m","5","20200812-1281_5m","D_parvula_wo_eggs",,,,,,,,,,,,,,,,,,,,,
"17","Surface_temp","25.17","20200812-1281_5m","B_longirostris_eggs","6",,,,,,,,,,,,,,,,,,,,
"18","Bottom_temp","24.61","20200812-1281_5m","D_mendotae_eggs",,,,,,,,,,,,,,,,,,,,,
"19","Ave_temp","24.89","20200812-1281_5m","D_retrocurva_eggs",,,,,,,,,,,,,,,,,,,,,
"20","Secchi_depth_m","1.3","20200812-1281_5m","Diaphanosoma_eggs",,,,,,,,,,,,,,,,,,,,,
"21","Surface_DO","8.55","20200812-1281_5m","B_coregoni_eggs",,,,,,,,,,,,,,,,,,,,,
"22","Bottom_DO","8.62","20200812-1281_5m","L_kindti_eggs",,,,,,,,,,,,,,,,,,,,,
"23","Latitude",,"20200812-1281_5m","Loose_Bosmina_eggs",,,,,,,,,,,,,,,,,,,,,
"24","Longitude",,"20200812-1281_5m","Loose_Cladoceran_eggs",,,,,,,,,,,,,,,,,,,,,
"25","Net_diameter_m","0.5","20200812-1281_5m","Loose_Daphnia_eggs",,,,,,,,,,,,,,,,,,,,,
"26","Comments","Lots of fragilaria and other filamentous diatoms","20200812-1281_5m","D_parvula_eggs",,,,,,,,,,,,,,,,,,,,,
"27",,,"20200812-1281_5m","D_pulex_eggs",,,,,,,,,,,,,,,,,,,,,
"28",,,"20200812-1281_5m","A_vernalis_w_eggs",,,,,,,,,,,,,,,,,,,,,
"29",,,"20200812-1281_5m","A_vernalis_wo_eggs",,,,,,,,,,,,,,,,,,,,,
"30",,,"20200812-1281_5m","D_thomasi_w_eggs",,,,,,,,,,,,,,,,,,,,,
"31",,,"20200812-1281_5m","D_thomasi_wo_eggs",,,,,,,,,,,,,,,,,,,,,
"32",,,"20200812-1281_5m","E_lacustris",,,,,,,,,,,,,,,,,,,,,
"33",,,"20200812-1281_5m","E_carolleeae_w_eggs",,,,,,,,,,,,,,,,,,,,,
"34",,,"20200812-1281_5m","E_carolleeae_wo_eggs",,,,,,,,,,,,,,,,,,,,,
"35",,,"20200812-1281_5m","L_ashlandi_w_eggs",,,,,,,,,,,,,,,,,,,,,
"36",,,"20200812-1281_5m","L_ashlandi_wo_eggs",,,,,,,,,,,,,,,,,,,,,
"37",,,"20200812-1281_5m","L_minutus_w_eggs",,,,,,,,,,,,,,,,,,,,,
"38",,,"20200812-1281_5m","L_minutus_wo_eggs",,,,,,,,,,,,,,,,,,,,,
"39",,,"20200812-1281_5m","L_sicilis_w_eggs",,,,,,,,,,,,,,,,,,,,,
"40",,,"20200812-1281_5m","L_sicilis_wo_eggs",,,,,,,,,,,,,,,,,,,,,
"41",,,"20200812-1281_5m","L_siciloides_w_eggs",,,,,,,,,,,,,,,,,,,,,
"42",,,"20200812-1281_5m","L_siciloides_wo_eggs",,,,,,,,,,,,,,,,,,,,,
"43",,,"20200812-1281_5m","M_edax_w_eggs",,,,,,,,,,,,,,,,,,,,,
"44",,,"20200812-1281_5m","M_edax_wo_eggs","5","45","43","38","37","45",,,,,,,,,,,,,,,
"45",,,"20200812-1281_5m","S_oregonensis_w_eggs","1","59",,,,,,,,,,,,,,,,,,,
"46",,,"20200812-1281_5m","S_oregonensis_wo_eggs","9","56","54","55","60","56","50","55","58","50",,,,,,,,,,,
"47",,,"20200812-1281_5m","Diaptomidae_immature","103","38","30","18","31","28","25","31","24","40","29","27","26","37","27","18","29","28","27","30","43"
"48",,,"20200812-1281_5m","Temoridae_immature",,,,,,,,,,,,,,,,,,,,,
"49",,,"20200812-1281_5m","Cyclopidae_immature","27","31","19","32","24","20","29","23","16","29","34","14","32","32","20","12","26","34","15.5","31","22"
"50",,,"20200812-1281_5m","Calanoid_nauplii","278","12","7","10","8","7","12","10","8","9","14","7","10","8","7","10","8","7","12","13","8"
"51",,,"20200812-1281_5m","Cyclopoid_nauplii","5","4","4","7","6","6",,,,,,,,,,,,,,,
"52",,,"20200812-1281_5m","T_prasinus_mexicanus_w_eggs",,,,,,,,,,,,,,,,,,,,,
"53",,,"20200812-1281_5m","T_prasinus_mexicanus_wo_eggs",,,,,,,,,,,,,,,,,,,,,
"54",,,"20200812-1281_5m","S_reighardi_w_eggs",,,,,,,,,,,,,,,,,,,,,
"55",,,"20200812-1281_5m","S_reighardi_wo_eggs",,,,,,,,,,,,,,,,,,,,,
"56",,,"20200812-1281_5m","S_pallidus_w_eggs",,,,,,,,,,,,,,,,,,,,,
"57",,,"20200812-1281_5m","S_pallidus_wo_eggs",,,,,,,,,,,,,,,,,,,,,
"58",,,"20200812-1281_5m","A_vernalis_eggs",,,,,,,,,,,,,,,,,,,,,
"59",,,"20200812-1281_5m","D_thomasi_eggs",,,,,,,,,,,,,,,,,,,,,
"60",,,"20200812-1281_5m","E_carolleeae_eggs",,,,,,,,,,,,,,,,,,,,,
"61",,,"20200812-1281_5m","L_ashlandi_eggs",,,,,,,,,,,,,,,,,,,,,
"62",,,"20200812-1281_5m","L_minutus_eggs",,,,,,,,,,,,,,,,,,,,,
"63",,,"20200812-1281_5m","L_sicilis_eggs",,,,,,,,,,,,,,,,,,,,,
"64",,,"20200812-1281_5m","L_siciloides_eggs",,,,,,,,,,,,,,,,,,,,,
"65",,,"20200812-1281_5m","M_edax_eggs",,,,,,,,,,,,,,,,,,,,,
"66",,,"20200812-1281_5m","S_oregonensis_eggs","10","10",,,,,,,,,,,,,,,,,,,
"67",,,"20200812-1281_5m","Loose_Copepod_eggs","44",,,,,,,,,,,,,,,,,,,,
"68",,,"20200812-1281_5m","T_prasinus_mexicanus_eggs",,,,,,,,,,,,,,,,,,,,,
"69",,,"20200812-1281_5m","S_reighardi_eggs",,,,,,,,,,,,,,,,,,,,,
"70",,,"20200812-1281_5m","S_pallidus_eggs",,,,,,,,,,,,,,,,,,,,,
"71",,,"20200812-1281_5m","Asplanchna","2",,,,,,,,,,,,,,,,,,,,
"72",,,"20200812-1281_5m","Brachionus","4",,,,,,,,,,,,,,,,,,,,
"73",,,"20200812-1281_5m","Dreissena_veligers","1292","7","9","6","6","11","10","7","7","10","8","9","6","8","9","5","7","9","6","10","6"
"74",,,"20200812-1281_5m","Kellicottia",,,,,,,,,,,,,,,,,,,,,
"75",,,"20200812-1281_5m","Keratella","101",,,,,,,,,,,,,,,,,,,,
"76",,,"20200812-1281_5m","Ploesoma_sp","36",,,,,,,,,,,,,,,,,,,,
"77",,,"20200812-1281_5m","Polyarthra","1764",,,,,,,,,,,,,,,,,,,,
"78",,,"20200812-1281_5m","Unidentified_Rotifers","125",,,,,,,,,,,,,,,,,,,,
"79",,,"20200812-1281_5m","Canthocamptus_eggs",,,,,,,,,,,,,,,,,,,,,
"80",,,"20200812-1281_5m","Canthocamptus_w_eggs",,,,,,,,,,,,,,,,,,,,,
"81",,,"20200812-1281_5m","Canthocamptus_wo_eggs",,,,,,,,,,,,,,,,,,,,,
"82",,,"20200812-1281_5m","Canthocamptus_nauplii",,,,,,,,,,,,,,,,,,,,,
"83",,,"20200812-1281_5m","Harpacticoid_eggs",,,,,,,,,,,,,,,,,,,,,
"84",,,"20200812-1281_5m","A_harpae_eggs",,,,,,,,,,,,,,,,,,,,,
"85",,,"20200812-1281_5m","A_harpae_w_eggs",,,,,,,,,,,,,,,,,,,,,
"86",,,"20200812-1281_5m","A_harpae_wo_eggs",,,,,,,,,,,,,,,,,,,,,
"87",,,"20200812-1281_5m","Alona_eggs",,,,,,,,,,,,,,,,,,,,,
"88",,,"20200812-1281_5m","Alona_w_eggs",,,,,,,,,,,,,,,,,,,,,
"89",,,"20200812-1281_5m","Alona_wo_eggs","1","22",,,,,,,,,,,,,,,,,,,
"90",,,"20200812-1281_5m","Alonella_eggs",,,,,,,,,,,,,,,,,,,,,
"91",,,"20200812-1281_5m","Alonella_w_eggs",,,,,,,,,,,,,,,,,,,,,
"92",,,"20200812-1281_5m","Alonella_wo_eggs",,,,,,,,,,,,,,,,,,,,,
"93",,,"20200812-1281_5m","B_deitersi_eggs",,,,,,,,,,,,,,,,,,,,,
