"","Information","Value","Sample_ID","Genus_sp_lifestage","Number_counted","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16","L17","L18","L19","L20"
"1","Sample_ID","20200825-16-970","20200825-16-970","B_longirostris_w_eggs","1","16",,,,,,,,,,,,,,,,,,,
"2","Sample_date","20200825","20200825-16-970","B_longirostris_wo_eggs","2","12","14",,,,,,,,,,,,,,,,,,
"3","Sample_site","16-970","20200825-16-970","D_mendotae_w_eggs","1","82",,,,,,,,,,,,,,,,,,,
"4","Sample_time",,"20200825-16-970","D_mendotae_wo_eggs","1","65",,,,,,,,,,,,,,,,,,,
"5","Project","LEPAS","20200825-16-970","D_retrocurva_w_eggs",,,,,,,,,,,,,,,,,,,,,
"6","Water_body","Western Erie","20200825-16-970","D_retrocurva_wo_eggs",,,,,,,,,,,,,,,,,,,,,
"7","Counter_name","CMD","20200825-16-970","Diaphanosoma_w_eggs","1","58",,,,,,,,,,,,,,,,,,,
"8","Date_counted","20210308","20200825-16-970","Diaphanosoma_wo_eggs","4","20","40","47","23",,,,,,,,,,,,,,,,
"9","Microscope_number","117546","20200825-16-970","B_coregoni_w_eggs",,,,,,,,,,,,,,,,,,,,,
"10","mm_per_ocular_unit","0.0185","20200825-16-970","B_coregoni_wo_eggs",,,,,,,,,,,,,,,,,,,,,
"11","Subsampled_vol_mL","8","20200825-16-970","L_kindti_w_eggs",,,,,,,,,,,,,,,,,,,,,
"12","Diluted_vol_mL","3000","20200825-16-970","L_kindti_wo_eggs","1","108",,,,,,,,,,,,,,,,,,,
"13","Meter_1","95390","20200825-16-970","D_pulex_w_eggs",,,,,,,,,,,,,,,,,,,,,
"14","Meter_2","95729","20200825-16-970","D_pulex_wo_eggs",,,,,,,,,,,,,,,,,,,,,
"15","Revolutions","339","20200825-16-970","D_parvula_w_eggs",,,,,,,,,,,,,,,,,,,,,
"16","Depth_m","9.5","20200825-16-970","D_parvula_wo_eggs",,,,,,,,,,,,,,,,,,,,,
"17","Surface_temp","24.6","20200825-16-970","B_longirostris_eggs","2","2",,,,,,,,,,,,,,,,,,,
"18","Bottom_temp","22.7","20200825-16-970","D_mendotae_eggs","3","3",,,,,,,,,,,,,,,,,,,
"19","Ave_temp","23.65","20200825-16-970","D_retrocurva_eggs",,,,,,,,,,,,,,,,,,,,,
"20","Secchi_depth_m","1.8","20200825-16-970","Diaphanosoma_eggs","4","4",,,,,,,,,,,,,,,,,,,
"21","Surface_DO","8.76","20200825-16-970","B_coregoni_eggs",,,,,,,,,,,,,,,,,,,,,
"22","Bottom_DO","1.68","20200825-16-970","L_kindti_eggs",,,,,,,,,,,,,,,,,,,,,
"23","Latitude",,"20200825-16-970","Loose_Bosmina_eggs",,,,,,,,,,,,,,,,,,,,,
"24","Longitude",,"20200825-16-970","Loose_Cladoceran_eggs",,,,,,,,,,,,,,,,,,,,,
"25","Net_diameter_m","0.5","20200825-16-970","Loose_Daphnia_eggs","1",,,,,,,,,,,,,,,,,,,,
"26","Comments","Lots of microcystis aand other algae","20200825-16-970","D_parvula_eggs",,,,,,,,,,,,,,,,,,,,,
"27",,,"20200825-16-970","D_pulex_eggs",,,,,,,,,,,,,,,,,,,,,
"28",,,"20200825-16-970","A_vernalis_w_eggs",,,,,,,,,,,,,,,,,,,,,
"29",,,"20200825-16-970","A_vernalis_wo_eggs","1","37",,,,,,,,,,,,,,,,,,,
"30",,,"20200825-16-970","D_thomasi_w_eggs",,,,,,,,,,,,,,,,,,,,,
"31",,,"20200825-16-970","D_thomasi_wo_eggs",,,,,,,,,,,,,,,,,,,,,
"32",,,"20200825-16-970","E_lacustris",,,,,,,,,,,,,,,,,,,,,
"33",,,"20200825-16-970","E_carolleeae_w_eggs",,,,,,,,,,,,,,,,,,,,,
"34",,,"20200825-16-970","E_carolleeae_wo_eggs",,,,,,,,,,,,,,,,,,,,,
"35",,,"20200825-16-970","L_ashlandi_w_eggs",,,,,,,,,,,,,,,,,,,,,
"36",,,"20200825-16-970","L_ashlandi_wo_eggs",,,,,,,,,,,,,,,,,,,,,
"37",,,"20200825-16-970","L_minutus_w_eggs",,,,,,,,,,,,,,,,,,,,,
"38",,,"20200825-16-970","L_minutus_wo_eggs",,,,,,,,,,,,,,,,,,,,,
"39",,,"20200825-16-970","L_sicilis_w_eggs",,,,,,,,,,,,,,,,,,,,,
"40",,,"20200825-16-970","L_sicilis_wo_eggs",,,,,,,,,,,,,,,,,,,,,
"41",,,"20200825-16-970","L_siciloides_w_eggs",,,,,,,,,,,,,,,,,,,,,
"42",,,"20200825-16-970","L_siciloides_wo_eggs","4","47","48","51","55",,,,,,,,,,,,,,,,
"43",,,"20200825-16-970","M_edax_w_eggs",,,,,,,,,,,,,,,,,,,,,
"44",,,"20200825-16-970","M_edax_wo_eggs","1","39",,,,,,,,,,,,,,,,,,,
"45",,,"20200825-16-970","S_oregonensis_w_eggs","2","62","57",,,,,,,,,,,,,,,,,,
"46",,,"20200825-16-970","S_oregonensis_wo_eggs","21","55","52","53","60","58","51","54","60","64","60","65","56","52","52","53","50","53","61","51","61"
"47",,,"20200825-16-970","Diaptomidae_immature","144","29","32","25","30","24","28","29","20","28","50","24","29","34","34","30","27","49","44","40","51"
"48",,,"20200825-16-970","Temoridae_immature","5","19","30","34","28","28",,,,,,,,,,,,,,,
"49",,,"20200825-16-970","Cyclopidae_immature","9","20","15","26","21","13","21","21","31","24",,,,,,,,,,,
"50",,,"20200825-16-970","Calanoid_nauplii","608","8","7","9","8","8","8","7","1","7","6","15","8","9","10","10","10","12","8","9","9"
