Length_cutoff,Genus_sp_lifestage
0.5735,A_vernalis_w_eggs
0.5735,A_vernalis_wo_eggs
0.148,Calanoida_C6_unclass
0.126,Canthocamptus_w_eggs
0.126,Canthocamptus_wo_eggs
0.10908,Cyclopoida_C6_unclass
0.407,C_scutifer_w_eggs
0.407,C_scutifer_wo_eggs
0.4995,C_strenuus_wo_eggs
0.4995,C_strenuus_w_eggs
0.5096,D_nanus_w_eggs
0.5096,D_nanus_wo_eggs
0.555,D_thomasi_w_eggs
0.555,D_thomasi_wo_eggs
0.5642,E_lacustris
0.3077,Ergasilus_w_eggs
0.3077,Ergasilus_wo_eggs
0.407,E_agilis_w_eggs
0.407,E_agilis_wo_eggs
0.444,Eucyclops_w_eggs
0.444,Eucyclops_wo_eggs
0.45,E_speratus_w_eggs
0.45,E_speratus_wo_eggs
0.6845,E_carolleeae_w_eggs
0.6845,E_carolleeae_wo_eggs
0.703,L_ashlandi_w_eggs
0.703,L_ashlandi_wo_eggs
0.666,L_minutus_w_eggs
0.666,L_minutus_wo_eggs
0.9333,L_sicilis_w_eggs
0.9333,L_sicilis_wo_eggs
0.814,L_siciloides_w_eggs
0.814,L_siciloides_wo_eggs
0.6878,L_macrurus_adult
0.6475,M_albidus_wo_eggs
0.6475,M_albidus_w_eggs
0.555,M_edax_w_eggs
0.555,M_edax_wo_eggs
0.3145,M_rubellus_wo_eggs
0.3145,M_rubellus_w_eggs
0.72,O_birgei_w_eggs
0.72,O_birgei_wo_eggs
0.6105,P_chiltoni_w_eggs
0.6105,P_chiltoni_wo_eggs
0.1647,P_poppei_w_eggs
0.1647,P_poppei_wo_eggs
1.9425,S_calanoides
0.84042,S_oregonensis_w_eggs
0.84042,S_oregonensis_wo_eggs
0.481,S_pallidus_w_eggs
0.481,S_pallidus_wo_eggs
0.8736,S_pygmaeus_wo_eggs
0.8736,S_pygmaeus_w_eggs
0.724,S_reighardi_w_eggs
0.724,S_reighardi_wo_eggs
0.25578,T_prasinus_mexicanus_w_eggs
0.25578,T_prasinus_mexicanus_wo_eggs
