"","Sample_ID","Sample_date","Sample_site","Genus_sp_lifestage","Life_stage","Number_counted","Zoop_density","Zoop_biomass","na.rm"
"1","20010430-14-972",2001-04-30,"14-972","A_vernalis_eggs","Egg",8,0.264138770585903,0.0301910614779687,TRUE
"2","20010430-14-972",2001-04-30,"14-972","A_vernalis_w_eggs","Older",1,0.0330173463232378,0.168822194077533,TRUE
"3","20010430-14-972",2001-04-30,"14-972","A_vernalis_w_eggs","Younger",1,0.0330173463232378,NA,TRUE
"4","20010430-14-972",2001-04-30,"14-972","A_vernalis_wo_eggs","Older",10,0.330173463232378,1.63358557571218,TRUE
"5","20010430-14-972",2001-04-30,"14-972","A_vernalis_wo_eggs","Younger",3,0.0990520389697135,0.114693535894638,TRUE
"6","20010430-14-972",2001-04-30,"14-972","Alona_w_eggs","Older",0,0,0,TRUE
"7","20010430-14-972",2001-04-30,"14-972","Alona_wo_eggs","Older",0,0,0,TRUE
"8","20010430-14-972",2001-04-30,"14-972","Asplanchna","Older",158,5.21674071907158,0.834678515051453,TRUE
"9","20010430-14-972",2001-04-30,"14-972","B_coregoni_eggs","Egg",0,0,0,TRUE
"10","20010430-14-972",2001-04-30,"14-972","B_coregoni_w_eggs","Older",0,0,0,TRUE
"11","20010430-14-972",2001-04-30,"14-972","B_coregoni_wo_eggs","Older",0,0,0,TRUE
"12","20010430-14-972",2001-04-30,"14-972","B_longimanus_w_eggs","Older",0,0,0,TRUE
"13","20010430-14-972",2001-04-30,"14-972","B_longimanus_wo_eggs","Older",0,0,0,TRUE
"14","20010430-14-972",2001-04-30,"14-972","B_longirostris_eggs","Egg",5,0.165086731616189,0.0841942331242565,TRUE
"15","20010430-14-972",2001-04-30,"14-972","B_longirostris_w_eggs","Older",5,0.165086731616189,0.507309174895969,TRUE
"16","20010430-14-972",2001-04-30,"14-972","B_longirostris_wo_eggs","Older",20,0.660346926464757,0.672789878261826,TRUE
"17","20010430-14-972",2001-04-30,"14-972","Brachionus","Older",451,14.8908231917803,2.97816463835605,TRUE
"18","20010430-14-972",2001-04-30,"14-972","C_pengoi_w_eggs","Older",0,0,0,TRUE
"19","20010430-14-972",2001-04-30,"14-972","C_pengoi_wo_eggs","Older",0,0,0,TRUE
"20","20010430-14-972",2001-04-30,"14-972","C_scutifer_w_eggs","Older",0,0,0,TRUE
"21","20010430-14-972",2001-04-30,"14-972","C_scutifer_wo_eggs","Older",0,0,0,TRUE
"22","20010430-14-972",2001-04-30,"14-972","Calanoid_nauplii","Nauplii",525,17.3341068196999,2.50420793553205,TRUE
"23","20010430-14-972",2001-04-30,"14-972","Calanoida_unclass","Younger",7,0.231121424262665,0.256794968724169,TRUE
"24","20010430-14-972",2001-04-30,"14-972","Canthocamptus_nauplii","Nauplii",0,0,0,TRUE
"25","20010430-14-972",2001-04-30,"14-972","Canthocamptus_w_eggs","Older",0,0,0,TRUE
"26","20010430-14-972",2001-04-30,"14-972","Canthocamptus_wo_eggs","Older",0,0,0,TRUE
"27","20010430-14-972",2001-04-30,"14-972","Ceriodaphnia_eggs","Egg",0,0,0,TRUE
"28","20010430-14-972",2001-04-30,"14-972","Ceriodaphnia_w_eggs","Older",0,0,0,TRUE
"29","20010430-14-972",2001-04-30,"14-972","Ceriodaphnia_wo_eggs","Older",0,0,0,TRUE
"30","20010430-14-972",2001-04-30,"14-972","Chydorids_w_eggs","Older",0,0,0,TRUE
"31","20010430-14-972",2001-04-30,"14-972","Chydorids_wo_eggs","Older",0,0,0,TRUE
"32","20010430-14-972",2001-04-30,"14-972","Cyclopidae_immature","Younger",0,0,0,TRUE
"33","20010430-14-972",2001-04-30,"14-972","Cyclopoid_nauplii","Nauplii",535,17.6642802829322,2.98828953745875,TRUE
"34","20010430-14-972",2001-04-30,"14-972","Cyclopoida_unclass","Younger",5,0.165086731616189,0.0882539349584961,TRUE
"35","20010430-14-972",2001-04-30,"14-972","D_ambigua_w_eggs","Older",0,0,0,TRUE
