"","Sample_ID","Sample_date","Sample_site","Genus_sp_lifestage","Number_counted","Zoop_density","Zoop_biomass","Zoop_len_avg","FTG_Groups_1","biop_152_codes","biop_152_names"
"1","20200604-27-918","2020-06-04","27-918","A_harpae_eggs",0,0,0,NA,"Acroperus_harpae_eggs",993,"Clad eggs"
"2","20200604-27-918","2020-06-04","27-918","A_harpae_w_eggs",0,0,0,NA,"Acroperus_harpae_w",161,"Ac.Harp"
"3","20200604-27-918","2020-06-04","27-918","A_harpae_wo_eggs",0,0,0,NA,"Acroperus_harpae_wo",161,"Ac.Harp"
"4","20200604-27-918","2020-06-04","27-918","A_vernalis_eggs",0,0,0,NA,"A_vernalis_eggs",994,"Cop eggs"
"5","20200604-27-918","2020-06-04","27-918","A_vernalis_w_eggs",0,0,0,NA,"A_vernalis_w",34,"Acan.vern"
"6","20200604-27-918","2020-06-04","27-918","Cyclopoida_immature",7,0.672054379,0.564701236912986,0.37,"A_vernalis_w",34,"Acan.vern"
"7","20200604-27-918","2020-06-04","27-918","A_vernalis_wo_eggs",0,0,0,NA,"A_vernalis_wo",34,"Acan.vern"
"8","20200604-27-918","2020-06-04","27-918","Cyclopoida_immature",7,0.672054379,0.564701236912986,0.37,"A_vernalis_wo",34,"Acan.vern"
"9","20200604-27-918","2020-06-04","27-918","Alona_eggs",0,0,0,NA,"Alona_spp_eggs",993,"Clad eggs"
"10","20200604-27-918","2020-06-04","27-918","Alona_w_eggs",0,0,0,NA,"Alona_spp_w",181,"Alona.sp"
"11","20200604-27-918","2020-06-04","27-918","Alona_wo_eggs",0,0,0,NA,"Alona_spp_wo",181,"Alona.sp"
"12","20200604-27-918","2020-06-04","27-918","Alonella_eggs",0,0,0,NA,"Alonella_spp_eggs",993,"Clad eggs"
"13","20200604-27-918","2020-06-04","27-918","Alonella_w_eggs",0,0,0,NA,"Alonella_spp_w",9997,"Alonella"
"14","20200604-27-918","2020-06-04","27-918","Alonella_wo_eggs",0,0,0,NA,"Alonella_spp_wo",9997,"Alonella"
"15","20200604-27-918","2020-06-04","27-918","Argulus_eggs",0,0,0,NA,"Argulus_spp_eggs",994,"Cop  eggs"
