,Genus_sp_lifestage,Genus_sp_95toPresent,biop_152_codes,biop_152_names,biop_152_names_95pres
45,A_vernalis_eggs,Acanthocyclops vernalis,994,Cop eggs,
12,A_vernalis_w_eggs,Acanthocyclops vernalis,34,Acan.vern,
13,A_vernalis_wo_eggs,Acanthocyclops vernalis,34,Acan.vern,
185,A_harpae_eggs,Acroperus harpae,993,Clad eggs,
186,A_harpae_w_eggs,Acroperus harpae,161,Ac.Harp,
187,A_harpae_wo_eggs,Acroperus harpae,161,Ac.Harp,
188,Alona_eggs,Alona sp.,993,Clad eggs,
115,Alona_w_eggs,Alona sp.,181,Alona.sp,
116,Alona_wo_eggs,Alona sp.,181,Alona.sp,
189,Alonella_eggs,Alonella sp.,993,Clad eggs,
190,Alonella_w_eggs,Alonella sp.,9997,Alonella,
191,Alonella_wo_eggs,Alonella sp.,9997,Alonella,
75,Argulus_eggs,Argulus sp.,994,Cop  eggs,
76,Argulus_w_eggs,Argulus sp.,9992,othercyclo,
77,Argulus_wo_eggs,Argulus sp.,9992,othercyclo,
239,Ascomorpha,Ascomorpha sp.,9995,rotifer,
170,Asplanchna,Asplanchna sp.,9995,rotifer,
243,P_hudsoni,Bipalpus hudsoni,9995,rotifer,
164,B_coregoni_eggs,Bosmina coregoni,993,Clad eggs,
145,B_coregoni_w_eggs,Bosmina coregoni,3,Eub.Coreg,Bosmidae
146,B_coregoni_wo_eggs,Bosmina coregoni,3,Eub.Coreg,Bosmidae
159,B_longirostris_eggs,Bosmina longirostris,993,Clad eggs,
117,B_longirostris_w_eggs,Bosmina longirostris,1,Bo.Longer,Bosmidae
118,B_longirostris_wo_eggs,Bosmina longirostris,1,Bo.Longer,Bosmidae
192,B_deitersi_eggs,Bosminopsis deitersi,993,Clad eggs,
193,B_deitersi_w_eggs,Bosminopsis deitersi,990,unkclad.d,
194,B_deitersi_wo_eggs,Bosminopsis deitersi,990,unkclad.d,
171,Brachionus,Brachionus sp.,9995,rotifer,
195,B_longimanus_eggs,Bythotrephes longimanus,993,Clad eggs,
119,B_longimanus_w_eggs,Bythotrephes longimanus,200,Bythothre,
120,B_longimanus_wo_eggs,Bythotrephes longimanus,200,Bythothre,
73,Calanoida_immature,Calanoida spp.,9993,othercala,
113,Calanoida_mixed,Calanoida spp.,9993,othercala,
43,Calanoida_unclass,Calanoida spp.,9993,othercala,
40,Diaptomidae_immature,Calanoida spp.,300,Diaptomidae.immature,othercala
99,O_birgei_eggs,Calanoida spp.,994,Cop eggs,
32,O_birgei_w_eggs,Calanoida spp.,15,Dia.Birg,othercala
33,O_birgei_wo_eggs,Calanoida spp.,15,Dia.Birg,othercala
68,S_calanoides,Calanoida spp.,811,S.Cal.Cp,
74,S_pallidus_eggs,Calanoida spp.,994,Cop eggs,
36,S_pallidus_w_eggs,Calanoida spp.,9993,othercala,
37,S_pallidus_wo_eggs,Calanoida spp.,9993,othercala,
101,S_pygmaeus_eggs,Calanoida spp.,994,Cop eggs,
102,S_pygmaeus_w_eggs,Calanoida spp.,9993,othercala,
65,S_pygmaeus_wo_eggs,Calanoida spp.,9993,othercala,
41,Temoridae_immature,Calanoida spp.,301,Temoridae.immature,othercala
56,Calanoid_nauplii,Calanoida spp. nauplii,83,Cal. Naup,
197,Camptocercus_eggs,Camptocercus sp.,993,Clad eggs,
198,Camptocercus_w_eggs,Camptocercus sp.,9996,Cam.rect,
199,Camptocercus_wo_eggs,Camptocercus sp.,9996,Cam.rect,
196,C_pengoi_eggs,Cercopagis pengoi,993,Clad eggs,
121,C_pengoi_w_eggs,Cercopagis pengoi,990,unkclad.d,
122,C_pengoi_wo_eggs,Cercopagis pengoi,990,unkclad.d,
160,Ceriodaphnia_eggs,Ceriodaphnia sp.,993,Clad eggs,
123,Ceriodaphnia_w_eggs,Ceriodaphnia sp.,189,Cerio.sp,
124,Ceriodaphnia_wo_eggs,Ceriodaphnia sp.,189,Cerio.sp,
178,Chydorids_eggs,Chydoridae sp.,993,Clad eggs,
125,Chydorids_w_eggs,Chydoridae spp.,13,Ch.Sphae,
126,Chydorids_wo_eggs,Chydoridae spp.,13,Ch.Sphae,
158,Unidentified_Cladoceran,Cladocera sp.,990,unkclad.d,
169,Rare_Cladoceran_eggs,Cladocera spp.,993,Clad eggs,
231,Collotheca,Collotheca sp.,9995,rotifer,
232,Conochilus,Conochilus sp.,9995,rotifer,
54,Loose_Copepod_eggs,Copepoda spp.,994,Cop eggs,
55,Rare_Copepod_eggs,Copepoda spp.,994,Cop eggs,
78,C_scutifer_eggs,Cyclopoida spp.,994,Cop eggs,
28,C_scutifer_w_eggs,Cyclopoida spp.,154,Cy.Scut,othercyclo
29,C_scutifer_wo_eggs,Cyclopoida spp.,154,Cy.Scut,othercyclo
72,C_strenuus_eggs,Cyclopoida spp.,994,Cop  eggs,
71,C_strenuus_w_eggs,Cyclopoida spp.,9992,othercyclo,
67,C_strenuus_wo_eggs,Cyclopoida spp.,9992,othercyclo,
42,Cyclopidae_immature,Cyclopoida spp.,9992,othercyclo,
114,Cyclopoida_mixed,Cyclopoida spp.,9992,othercyclo,
44,Cyclopoida_unclass,Cyclopoida spp.,9992,othercyclo,
80,D_nanus_eggs,Cyclopoida spp.,994,Cop  eggs,
81,D_nanus_w_eggs,Cyclopoida spp.,9992,othercyclo,
82,D_nanus_wo_eggs,Cyclopoida spp.,9992,othercyclo,
110,Diacyclops_eggs,Cyclopoida spp.,994,Cop eggs,
111,Diacyclops_w_eggs,Cyclopoida spp.,9992,othercyclo,
112,Diacyclops_wo_eggs,Cyclopoida spp.,9992,othercyclo,
97,M_albidus_eggs,Cyclopoida spp.,994,Cop eggs,
98,M_albidus_w_eggs,Cyclopoida spp.,9992,othercyclo,
60,M_albidus_wo_eggs,Cyclopoida spp.,9992,othercyclo,
70,M_rubellus_eggs,Cyclopoida spp.,994,Cop eggs,
69,M_rubellus_w_eggs,Cyclopoida spp.,9992,othercyclo,
66,M_rubellus_wo_eggs,Cyclopoida spp.,9992,othercyclo,
107,P_chiltoni_eggs,Cyclopoida spp.,994,Cop eggs,
108,P_chiltoni_w_eggs,Cyclopoida spp.,9992,othercyclo,
109,P_chiltoni_wo_eggs,Cyclopoida spp.,9992,othercyclo,
104,T_crassus_eggs,Cyclopoida spp.,994,Cop eggs,
105,T_crassus_w_eggs,Cyclopoida spp.,9992,othercyclo,
106,T_crassus_wo_eggs,Cyclopoida spp.,9992,othercyclo,
58,Cyclopoid_nauplii,Cyclopoida spp. nauplii,82,Cycl.Naup,
200,D_ambigua_eggs,Daphnia ambigua,993,Clad eggs,
127,D_ambigua_w_eggs,Daphnia ambigua,113,Daph.sp,
128,D_ambigua_wo_eggs,Daphnia ambigua,113,Daph.sp,
201,D_laevis_eggs,Daphnia laevis,993,Clad eggs,
202,D_laevis_w_eggs,Daphnia laevis,113,Daph.sp,
203,D_laevis_wo_eggs,Daphnia laevis,113,Daph.sp,
204,D_longiremis_eggs,Daphnia longiremis,993,Clad eggs,
131,D_longiremis_w_eggs,Daphnia longiremis,7,Da.Long,
132,D_longiremis_wo_eggs,Daphnia longiremis,7,Da.Long,
205,D_lumholtzi_eggs,Daphnia lumholtzi,993,Clad eggs,
133,D_lumholtzi_w_eggs,Daphnia lumholtzi,113,Daph.sp,
134,D_lumholtzi_wo_eggs,Daphnia lumholtzi,113,Daph.sp,
161,D_mendotae_eggs,Daphnia mendotae,993,Clad eggs,
129,D_mendotae_w_eggs,Daphnia mendotae,9,Da.G.Men,
130,D_mendotae_wo_eggs,Daphnia mendotae,9,Da.G.Men,
179,D_parvula_eggs,Daphnia parvula,993,Clad eggs,
135,D_parvula_w_eggs,Daphnia parvula,125,Da.Parv,
136,D_parvula_wo_eggs,Daphnia parvula,125,Da.Parv,
184,D_pulex_eggs,Daphnia pulex,993,Clad eggs,
137,D_pulex_w_eggs,Daphnia pulex,151,Da.Pulex,
138,D_pulex_wo_eggs,Daphnia pulex,151,Da.Pulex,
162,D_retrocurva_eggs,Daphnia retrocurva,993,Clad eggs,
139,D_retrocurva_w_eggs,Daphnia retrocurva,5,Da.Retro,
140,D_retrocurva_wo_eggs,Daphnia retrocurva,5,Da.Retro,
206,D_rosea_eggs,Daphnia rosea,993,Clad eggs,
207,D_rosea_w_eggs,Daphnia rosea,113,Daph.sp,
208,D_rosea_wo_eggs,Daphnia rosea,113,Daph.sp,
209,D_schodleri_eggs,Daphnia schodleri,993,Clad eggs,
141,D_schodleri_w_eggs,Daphnia schodleri,113,Daph.sp,
142,D_schodleri_wo_eggs,Daphnia schodleri,113,Daph.sp,
46,D_thomasi_eggs,Diacyclops thomasi,994,Cop eggs,
6,D_thomasi_w_eggs,Diacyclops thomasi,31,Dia.Thoma,
7,D_thomasi_wo_eggs,Diacyclops thomasi,31,Dia.Thoma,
163,Diaphanosoma_eggs,Diaphanosoma sp.,993,Clad eggs,
143,Diaphanosoma_w_eggs,Diaphanosoma sp.,187,Dia.Brach,
144,Diaphanosoma_wo_eggs,Diaphanosoma sp.,187,Dia.Brach,
172,Dreissena_veligers,Dreissena spp.,234,Veligers,
1,E_lacustris,Epischura lacustris,73,Ep.Lacus,
94,Ergasilus_eggs,Ergasilus sp.,994,Cop eggs,
30,Ergasilus_w_eggs,Ergasilus sp.,9992,othercyclo,
31,Ergasilus_wo_eggs,Ergasilus sp.,9992,othercyclo,
238,Euchlanis,Euchlanis sp.,9995,rotifer,
83,E_agilis_eggs,Eucyclops spp.,994,Cop eggs,
61,E_agilis_w_eggs,Eucyclops spp.,43,Eucyclops,
62,E_agilis_wo_eggs,Eucyclops spp.,43,Eucyclops,
84,E_elegans_eggs,Eucyclops spp.,994,Cop eggs,
85,E_elegans_w_eggs,Eucyclops spp.,43,Eucyclops,
86,E_elegans_wo_eggs,Eucyclops spp.,43,Eucyclops,
87,E_phaleratus_eggs,Eucyclops spp.,994,Cop eggs,
88,E_phaleratus_w_eggs,Eucyclops spp.,9992,othercyclo,Eucyclops
89,E_phaleratus_wo_eggs,Eucyclops spp.,9992,othercyclo,Eucyclops
90,E_prionophorus_eggs,Eucyclops spp.,994,Cop eggs,
91,E_prionophorus_w_eggs,Eucyclops spp.,43,Eucyclops,
92,E_prionophorus_wo_eggs,Eucyclops spp.,43,Eucyclops,
93,E_speratus_eggs,Eucyclops spp.,994,Cop eggs,
63,E_speratus_w_eggs,Eucyclops spp.,43,Eucyclops,
64,E_speratus_wo_eggs,Eucyclops spp.,43,Eucyclops,
95,Eucyclops_eggs,Eucyclops spp.,994,Cop eggs,
20,Eucyclops_w_eggs,Eucyclops spp.,43,Eucyclops,
21,Eucyclops_wo_eggs,Eucyclops spp.,43,Eucyclops,
210,E_lamellatus_eggs,Eurycercus lamellatus,993,Clad eggs,
211,E_lamellatus_w_eggs,Eurycercus lamellatus,25,Eury.Lam,
182,E_lamellatus_wo_eggs,Eurycercus lamellatus,25,Eury.Lam,
47,E_carolleeae_eggs,Eurytemora carolleeae,994,Cop eggs,
18,E_carolleeae_w_eggs,Eurytemora carolleeae,70,Eury.Affi,
19,E_carolleeae_wo_eggs,Eurytemora carolleeae,70,Eury.Affi,
233,Filinia,Filinia sp.,9995,rotifer,
79,Canthocamptus_eggs,Harpacticoida spp.,994,Cop  eggs,
26,Canthocamptus_w_eggs,Harpacticoida spp.,135,Harpact,
27,Canthocamptus_wo_eggs,Harpacticoida spp.,135,Harpact,
96,Harpacticoid_eggs,Harpacticoida spp.,994,Cop eggs,
57,Canthocamptus_nauplii,Harpacticoida spp. nauplii,85,Harp.Naup,
212,H_gibberum_eggs,Holopedium gibberum,993,Clad eggs,
147,H_gibberum_w_eggs,Holopedium gibberum,17,Ho.Gibber,
148,H_gibberum_wo_eggs,Holopedium gibberum,17,Ho.Gibber,
213,Ilyocryptus_eggs,Ilyocryptus sp.,993,Clad eggs,
214,Ilyocryptus_w_eggs,Ilyocryptus sp.,150,Il.Spinif,
215,Ilyocryptus_wo_eggs,Ilyocryptus sp.,150,Il.Spinif,
