"","Sample_ID","Sample_date","Sample_site","Project","Latitude","Longitude","Secchi_depth_m","Depth_m","Ave_temp"
"1","20110422-Mosquito_Site_1",2011-04-22,"Mosquito_Site_1","Reservoir",41.311782,-80.755009,NA,NA,0
"2","20110425-Berlin_Site_2",2011-04-25,"Berlin_Site_2","Reservoir",41.044204,-81.003526,NA,NA,0
"3","20110425-Raccoon_Creek_Site_1",2011-04-25,"Raccoon_Creek_Site_1","Reservoir",41.290113,-82.978627,NA,NA,0
"4","20110425-Willard_1_Rep_2",2011-04-25,"Willard_1_Rep_2","Reservoir",41.063275,-82.662544,NA,NA,0
"5","20110425-Willard_Site_1",2011-04-25,"Willard_Site_1","Reservoir",41.063275,-82.662544,NA,NA,0
"6","20110426-Defiance_W9",2011-04-26,"Defiance_W9","Reservoir",41.26751,-84.394521,NA,NA,0
"7","20110426-Delphos_Gilmore_Site_WQ",2011-04-26,"Delphos_Gilmore_Site_WQ","Reservoir",40.879415,-84.364513,NA,NA,0
"8","20110426-Findlay_Res_2_WQ",2011-04-26,"Findlay_Res_2_WQ","Reservoir",41.020428,-83.572988,NA,NA,0
"9","20110426-Lake_Lecomte_Site_WQ",2011-04-26,"Lake_Lecomte_Site_WQ","Reservoir",41.120706,-83.44357,NA,NA,0
"10","20110428-Mosquito_Res_Site_1",2011-04-28,"Mosquito_Res_Site_1","Reservoir",41.311782,-80.755009,NA,NA,0
"11","20110502-Berlin_1",2011-05-02,"Berlin_1","Reservoir",41.044204,-81.003526,NA,NA,0
"12","20110502-Defiance_Reservoir_Site_WQ",2011-05-02,"Defiance_Reservoir_Site_WQ","Reservoir",41.26751,-84.394521,NA,NA,0
"13","20110502-Delphos_Gilmore_Site_WQ",2011-05-02,"Delphos_Gilmore_Site_WQ","Reservoir",40.879415,-84.364513,NA,NA,0
"14","20110502-Findlay_Res_2_Site_WQ_A",2011-05-02,"Findlay_Res_2_Site_WQ_A","Reservoir",41.020428,-83.572988,NA,NA,0
"15","20110502-Findlay_Res_2_Site_WQ_B",2011-05-02,"Findlay_Res_2_Site_WQ_B","Reservoir",41.020428,-83.572988,NA,NA,0
"16","20110502-Lake_Lecomte_WQ",2011-05-02,"Lake_Lecomte_WQ","Reservoir",41.120706,-83.44357,NA,NA,0
"17","20110502-Raccoon_Creek_1",2011-05-02,"Raccoon_Creek_1","Reservoir",41.290113,-82.978627,NA,NA,0
"18","20110502-Willard_1_Rep_1",2011-05-02,"Willard_1_Rep_1","Reservoir",41.063275,-82.662544,NA,NA,0
"19","20110502-Willard_1_rep_2",2011-05-02,"Willard_1_rep_2","Reservoir",41.063275,-82.662544,NA,NA,0
"20","20110505-Mosquito_Run_Site_1",2011-05-05,"Mosquito_Run_Site_1","Reservoir",41.311782,-80.755009,NA,NA,0
"21","20110516-Findlay_Res_2_WQ_A",2011-05-16,"Findlay_Res_2_WQ_A","Reservoir",41.020428,-83.572988,NA,NA,0
"22","20110516-Findlay_Res_2_WQ_B",2011-05-16,"Findlay_Res_2_WQ_B","Reservoir",41.020428,-83.572988,NA,NA,0
"23","20110531-Findlay_Res_2_Site_WQ",2011-05-31,"Findlay_Res_2_Site_WQ","Reservoir",41.020428,-83.572988,NA,NA,0
"24","20110531-Findlay_Res_2_WQ",2011-05-31,"Findlay_Res_2_WQ","Reservoir",41.020428,-83.572988,NA,NA,0
"25","20110613-Findlay_Res_2_Site_WQ",2011-06-13,"Findlay_Res_2_Site_WQ","Reservoir",41.020428,-83.572988,NA,NA,0
"26","20110613-Findlay_Res_2_WQ",2011-06-13,"Findlay_Res_2_WQ","Reservoir",41.020428,-83.572988,NA,NA,0
"27","20110627-Findlay_Res_2",2011-06-27,"Findlay_Res_2","Reservoir",41.020428,-83.572988,NA,NA,0
"28","20110627-Findlay_Res_2_WQ",2011-06-27,"Findlay_Res_2_WQ","Reservoir",41.020428,-83.572988,NA,NA,0
"29","20110711-Findlay_Res_2_WQ_A",2011-07-11,"Findlay_Res_2_WQ_A","Reservoir",41.020428,-83.572988,NA,NA,0
"30","20110711-Findlay_Res_2_WQ_B",2011-07-11,"Findlay_Res_2_WQ_B","Reservoir",41.020428,-83.572988,NA,NA,0
"31","20110927-80305-A",2011-09-27,"80305-A","Reservoir",41.044204,-81.003526,NA,NA,0
"32","20110927-80305-B",2011-09-27,"80305-B","Reservoir",41.044204,-81.003526,NA,NA,0
"33","20120327-Mosquito_Site_1",2012-03-27,"Mosquito_Site_1","Reservoir",41.311782,-80.755009,NA,NA,0
"34","20120403-Kiser-A",2012-04-03,"Kiser-A","Reservoir",40.194528,-83.97968,NA,NA,0
"35","20120403-Kiser-B",2012-04-03,"Kiser-B","Reservoir",40.194528,-83.97968,NA,NA,0
"36","20120403-Mosquito_Site_1",2012-04-03,"Mosquito_Site_1","Reservoir",41.311782,-80.755009,NA,NA,0
"37","20120405-Alum-A",2012-04-05,"Alum-A","Reservoir",40.190943,-82.96255,NA,NA,0
"38","20120405-Alum-B",2012-04-05,"Alum-B","Reservoir",40.190943,-82.96255,NA,NA,0
"39","20120405-Delaware-A",2012-04-05,"Delaware-A","Reservoir",40.362465,-83.068877,NA,NA,0
"40","20120405-Delaware-B",2012-04-05,"Delaware-B","Reservoir",40.362465,-83.068877,NA,NA,0
"41","20120405-Hoover-A",2012-04-05,"Hoover-A","Reservoir",40.114113,-82.881026,NA,NA,0
"42","20120405-Hoover-B",2012-04-05,"Hoover-B","Reservoir",40.114113,-82.881026,NA,NA,0
"43","20120411-Bresler_Res_Site_WQ",2012-04-11,"Bresler_Res_Site_WQ","Reservoir",40.737784,-84.232962,NA,NA,0
"44","20120411-Delphos-Gillmor_Site_Wg",2012-04-11,"Delphos-Gillmor_Site_Wg","Reservoir",40.879415,-84.364513,NA,NA,0
"45","20120411-Mosquito_Site_1",2012-04-11,"Mosquito_Site_1","Reservoir",41.311782,-80.755009,NA,NA,0
"46","20120411-New_London_Site_WQ",2012-04-11,"New_London_Site_WQ","Reservoir",41.068046,-82.432871,NA,NA,0
"47","20120411-Pyamatuning_Site_1",2012-04-11,"Pyamatuning_Site_1","Reservoir",41.505146,-80.463865,NA,NA,0
"48","20120412-Defiance_Res_Site_WQ",2012-04-12,"Defiance_Res_Site_WQ","Reservoir",41.26751,-84.394521,NA,NA,0
"49","20120412-Paulding_Res_WQ",2012-04-12,"Paulding_Res_WQ","Reservoir",41.122041,-84.586739,NA,NA,0
"50","20120412-Wauseon_Res_Site_WQ",2012-04-12,"Wauseon_Res_Site_WQ","Reservoir",41.513303,-84.148122,NA,NA,0
"51","20120413-Riley_Res_WQ",2012-04-13,"Riley_Res_WQ","Reservoir",40.829917,-82.932106,NA,NA,0
"52","20120417-Findlay_Res_2_Rep_2",2012-04-17,"Findlay_Res_2_Rep_2","Reservoir",41.020428,-83.572988,NA,NA,0
"53","20120417-Findlay_Res_2_Site_Wq_Rep_1",2012-04-17,"Findlay_Res_2_Site_Wq_Rep_1","Reservoir",41.020428,-83.572988,NA,NA,0
"54","20120417-Snowden",2012-04-17,"Snowden","Reservoir",39.250497,-82.1899,NA,NA,0
"55","20120418-Berlin-A",2012-04-18,"Berlin-A","Reservoir",41.044204,-81.003526,NA,NA,0
"56","20120418-Berlin-B",2012-04-18,"Berlin-B","Reservoir",41.044204,-81.003526,NA,NA,0
"57","20120418-BERLIN",2012-04-18,"BERLIN","Reservoir",41.044204,-81.003526,NA,NA,0
"58","20120418-Bresler_Res_Site_Wq_Rep_1",2012-04-18,"Bresler_Res_Site_Wq_Rep_1","Reservoir",40.737784,-84.232962,NA,NA,0
"59","20120418-Delphos-gilmor_Site_Wq_Rep_1",2012-04-18,"Delphos-gilmor_Site_Wq_Rep_1","Reservoir",40.879415,-84.364513,NA,NA,0
"60","20120418-Dillon",2012-04-18,"Dillon","Reservoir",39.994716,-82.084202,NA,NA,0
"61","20120418-Dillon_WQ",2012-04-18,"Dillon_WQ","Reservoir",39.994716,-82.084202,NA,NA,0
"62","20120418-Mosquito_Site_1",2012-04-18,"Mosquito_Site_1","Reservoir",41.311782,-80.755009,NA,NA,0
"63","20120418-New_London_Site_2",2012-04-18,"New_London_Site_2","Reservoir",41.068046,-82.432871,NA,NA,0
"64","20120418-Pymatuning_Site_1",2012-04-18,"Pymatuning_Site_1","Reservoir",41.505146,-80.463865,NA,NA,0
"65","20120418-Rush_Creek-A",2012-04-18,"Rush_Creek-A","Reservoir",39.789556,-82.414036,NA,NA,0
"66","20120418-Rush_Creek-B",2012-04-18,"Rush_Creek-B","Reservoir",39.789556,-82.414036,NA,NA,0
"67","20120419-Defiance_Res_Site_Wq_Rep_1",2012-04-19,"Defiance_Res_Site_Wq_Rep_1","Reservoir",41.26751,-84.394521,NA,NA,0
"68","20120419-Paulding_Res_Site_Wg_Rep_1",2012-04-19,"Paulding_Res_Site_Wg_Rep_1","Reservoir",41.122041,-84.586739,NA,NA,0
"69","20120419-Wauseon_Res_Wq",2012-04-19,"Wauseon_Res_Wq","Reservoir",41.513303,-84.148122,NA,NA,0
"70","20120420-Riley_Res_Site_Wq_Rep_1",2012-04-20,"Riley_Res_Site_Wq_Rep_1","Reservoir",40.829917,-82.932106,NA,NA,0
"71","20120424-Acton_101-A",2012-04-24,"Acton_101-A","Reservoir",39.560185,-84.737399,NA,NA,0
"72","20120424-Acton_101-B",2012-04-24,"Acton_101-B","Reservoir",39.560185,-84.737399,NA,NA,0
"73","20120424-Burr_Oak-A",2012-04-24,"Burr_Oak-A","Reservoir",39.542322,-82.055252,NA,NA,0
"74","20120424-Burr_Oak-B",2012-04-24,"Burr_Oak-B","Reservoir",39.542322,-82.055252,NA,NA,0
"75","20120424-Findlay_Res_2_Site_Wg_Rep_2",2012-04-24,"Findlay_Res_2_Site_Wg_Rep_2","Reservoir",41.020428,-83.572988,NA,NA,0
"76","20120424-Findlay_Res_2_Site_Wq_Rep_1",2012-04-24,"Findlay_Res_2_Site_Wq_Rep_1","Reservoir",41.020428,-83.572988,NA,8,0
"77","20120424-GLSM",2012-04-24,"GLSM","Reservoir",40.528134,-84.502695,NA,NA,0
"78","20120424-GLSM_1",2012-04-24,"GLSM_1","Reservoir",40.528134,-84.502695,NA,NA,0
"79","20120425-Berlin",2012-04-25,"Berlin","Reservoir",41.044204,-81.003526,NA,NA,0
"80","20120425-Mosquito_Site_1",2012-04-25,"Mosquito_Site_1","Reservoir",41.311782,-80.755009,NA,NA,0
"81","20120425-Stonelick-A",2012-04-25,"Stonelick-A","Reservoir",39.216798,-84.082854,NA,NA,0
"82","20120425-Stonelick-B",2012-04-25,"Stonelick-B","Reservoir",39.216798,-84.082854,NA,NA,0
"83","20120426-Hammertown-A",2012-04-26,"Hammertown-A","Reservoir",39.055314,-82.683159,NA,NA,0
